Kennziffer;Raumeinheit;Aggregat;Landwirtschaftsfläche;Landwirtschaftsfläche;Landwirtschaftsfläche
;;;2017;2021;2023
"01001000";"Flensburg, Stadt";"Gemeinden";"23,30";"22,33";"19,87"
"01002000";"Kiel, Landeshauptstadt";"Gemeinden";"29,19";"24,03";"23,35"
"01003000";"Lübeck, Hansestadt";"Gemeinden";"31,00";"30,31";"30,19"
"01004000";"Neumünster, Stadt";"Gemeinden";"39,03";"37,79";"37,58"
"01051001";"Albersdorf";"Gemeinden";"62,73";"62,62";"62,38"
"01051002";"Arkebek";"Gemeinden";"64,45";"64,31";"64,45"
"01051003";"Averlak";"Gemeinden";"74,50";"73,95";"73,95"
"01051004";"Bargenstedt";"Gemeinden";"81,09";"80,59";"80,25"
"01051005";"Barkenholm";"Gemeinden";"81,60";"81,41";"81,41"
"01051006";"Barlt";"Gemeinden";"76,01";"76,01";"76,05"
"01051008";"Bergewöhrden";"Gemeinden";"81,44";"81,44";"81,44"
"01051010";"Brickeln";"Gemeinden";"75,95";"75,95";"75,95"
"01051011";"Brunsbüttel, Stadt";"Gemeinden";"45,53";"45,38";"45,22"
"01051012";"Buchholz";"Gemeinden";"77,27";"76,99";"76,79"
"01051013";"Büsum";"Gemeinden";"50,35";"48,94";"48,23"
"01051014";"Büsumer Deichhausen";"Gemeinden";"84,32";"84,32";"84,32"
"01051015";"Bunsoh";"Gemeinden";"66,47";"66,47";"66,30"
"01051016";"Burg (Dithmarschen)";"Gemeinden";"55,29";"51,91";"51,82"
"01051017";"Busenwurth";"Gemeinden";"63,83";"63,83";"63,83"
"01051019";"Dellstedt";"Gemeinden";"77,49";"76,99";"76,85"
"01051020";"Delve";"Gemeinden";"75,19";"75,13";"75,13"
"01051021";"Diekhusen-Fahrstedt";"Gemeinden";"87,67";"87,53";"87,53"
"01051022";"Dingen";"Gemeinden";"81,46";"81,03";"81,17"
"01051023";"Dörpling";"Gemeinden";"69,69";"69,44";"68,03"
"01051024";"Eddelak";"Gemeinden";"82,95";"82,84";"82,95"
"01051026";"Eggstedt";"Gemeinden";"85,77";"85,54";"85,54"
"01051027";"Elpersbüttel";"Gemeinden";"58,83";"58,77";"58,77"
"01051028";"Epenwöhrden";"Gemeinden";"88,39";"88,39";"88,39"
"01051030";"Fedderingen";"Gemeinden";"85,35";"84,93";"84,83"
"01051032";"Frestedt";"Gemeinden";"81,12";"80,64";"80,54"
"01051033";"Friedrichsgabekoog";"Gemeinden";"86,31";"86,08";"85,96"
"01051034";"Friedrichskoog";"Gemeinden";"74,23";"74,23";"74,11"
"01051035";"Gaushorn";"Gemeinden";"73,64";"73,64";"73,64"
"01051036";"Glüsing";"Gemeinden";"79,96";"79,74";"79,96"
"01051037";"Großenrade";"Gemeinden";"73,94";"73,94";"73,85"
"01051038";"Groven";"Gemeinden";"88,35";"88,48";"88,48"
"01051039";"Gudendorf";"Gemeinden";"68,71";"68,38";"67,88"
"01051043";"Hedwigenkoog";"Gemeinden";"85,76";"85,76";"85,82"
"01051044";"Heide, Stadt";"Gemeinden";"53,46";"53,08";"53,21"
"01051045";"Hellschen-Heringsand-Unterschaar";"Gemeinden";"90,46";"90,31";"90,31"
"01051046";"Helse";"Gemeinden";"86,10";"85,66";"85,66"
"01051047";"Hemme";"Gemeinden";"87,90";"87,54";"87,36"
"01051048";"Hemmingstedt";"Gemeinden";"73,27";"73,14";"73,39"
"01051049";"Hennstedt";"Gemeinden";"73,46";"73,01";"73,01"
"01051050";"Hillgroven";"Gemeinden";"90,83";"90,83";"90,56"
"01051051";"Hochdonn";"Gemeinden";"54,40";"54,21";"54,21"
"01051052";"Hövede";"Gemeinden";"80,95";"80,95";"74,83"
"01051053";"Hollingstedt";"Gemeinden";"78,75";"78,75";"78,54"
"01051054";"Immenstedt";"Gemeinden";"89,97";"89,64";"89,64"
"01051057";"Kaiser-Wilhelm-Koog";"Gemeinden";"78,54";"78,62";"78,54"
"01051058";"Karolinenkoog";"Gemeinden";"67,86";"67,86";"67,86"
"01051060";"Kleve";"Gemeinden";"83,29";"83,14";"83,14"
"01051061";"Krempel";"Gemeinden";"74,07";"75,52";"75,52"
"01051062";"Kronprinzenkoog";"Gemeinden";"82,52";"82,39";"82,18"
"01051063";"Krumstedt";"Gemeinden";"75,27";"75,02";"75,02"
"01051064";"Kuden";"Gemeinden";"75,11";"75,02";"75,02"
"01051065";"Lehe";"Gemeinden";"85,88";"85,19";"85,19"
"01051067";"Lieth";"Gemeinden";"69,74";"69,74";"69,53"
"01051068";"Linden";"Gemeinden";"83,56";"83,56";"83,56"
"01051069";"Lohe-Rickelshof";"Gemeinden";"68,27";"67,53";"67,53"
"01051071";"Lunden";"Gemeinden";"60,22";"60,22";"59,35"
"01051072";"Marne, Stadt";"Gemeinden";"36,23";"35,82";"35,82"
"01051073";"Marnerdeich";"Gemeinden";"77,86";"77,86";"77,86"
"01051074";"Meldorf, Stadt";"Gemeinden";"63,55";"63,22";"63,22"
"01051075";"Neuenkirchen";"Gemeinden";"89,82";"88,66";"88,62"
"01051076";"Neufeld";"Gemeinden";"89,23";"89,23";"89,04"
"01051077";"Neufelderkoog";"Gemeinden";"90,38";"90,58";"90,58"
"01051078";"Nindorf";"Gemeinden";"78,29";"78,06";"77,60"
"01051079";"Norddeich";"Gemeinden";"89,28";"88,99";"88,84"
"01051080";"Norderheistedt";"Gemeinden";"92,15";"91,69";"91,69"
"01051081";"Norderwöhrden";"Gemeinden";"90,36";"89,93";"89,93"
"01051082";"Nordhastedt";"Gemeinden";"63,40";"63,06";"62,99"
"01051083";"Odderade";"Gemeinden";"57,50";"57,41";"57,50"
"01051084";"Oesterdeichstrich";"Gemeinden";"85,99";"85,78";"85,99"
"01051085";"Offenbüttel";"Gemeinden";"80,57";"71,90";"71,54"
"01051086";"Osterrade";"Gemeinden";"86,42";"83,50";"83,38"
"01051087";"Ostrohe";"Gemeinden";"65,92";"64,71";"64,11"
"01051088";"Pahlen";"Gemeinden";"76,39";"75,83";"75,83"
"01051089";"Quickborn";"Gemeinden";"37,12";"37,12";"37,12"
"01051090";"Ramhusen";"Gemeinden";"88,75";"88,75";"88,75"
"01051092";"Rehm-Flehde-Bargen";"Gemeinden";"62,95";"63,98";"63,98"
"01051093";"Reinsbüttel";"Gemeinden";"88,58";"88,43";"88,43"
"01051096";"Sankt Annen";"Gemeinden";"87,44";"87,37";"87,31"
"01051097";"Sankt Michaelisdonn";"Gemeinden";"70,73";"70,69";"70,56"
"01051098";"Sarzbüttel";"Gemeinden";"72,82";"72,74";"72,67"
"01051099";"Schafstedt";"Gemeinden";"76,16";"75,99";"75,55"
"01051100";"Schalkholz";"Gemeinden";"76,44";"76,44";"76,20"
"01051102";"Schlichting";"Gemeinden";"89,68";"89,68";"88,72"
"01051103";"Schmedeswurth";"Gemeinden";"89,85";"89,85";"89,68"
"01051104";"Schrum";"Gemeinden";"78,24";"77,05";"77,05"
"01051105";"Schülp";"Gemeinden";"87,27";"87,27";"87,27"
"01051107";"Stelle-Wittenwurth";"Gemeinden";"80,67";"80,58";"80,58"
"01051108";"Strübbel";"Gemeinden";"91,36";"90,45";"90,45"
"01051109";"Süderdeich";"Gemeinden";"87,65";"87,50";"87,50"
"01051110";"Süderhastedt";"Gemeinden";"83,29";"82,85";"82,78"
"01051113";"Wöhrden";"Gemeinden";"87,32";"86,91";"86,72"
"01051114";"Tellingstedt";"Gemeinden";"77,87";"77,63";"77,39"
"01051117";"Tielenhemme";"Gemeinden";"88,88";"89,12";"89,12"
"01051118";"Trennewurth";"Gemeinden";"90,24";"90,12";"89,86"
"01051119";"Volsemenhusen";"Gemeinden";"91,30";"91,24";"91,18"
"01051120";"Wallen";"Gemeinden";"87,63";"87,10";"87,10"
"01051121";"Warwerort";"Gemeinden";"70,96";"70,96";"70,96"
"01051122";"Weddingstedt";"Gemeinden";"73,62";"73,45";"73,11"
"01051125";"Welmbüttel";"Gemeinden";"42,37";"42,76";"42,76"
"01051126";"Wennbüttel";"Gemeinden";"64,92";"64,71";"64,92"
"01051127";"Wesselburen, Stadt";"Gemeinden";"61,99";"61,60";"61,01"
"01051128";"Wesselburener Deichhausen";"Gemeinden";"89,35";"89,15";"88,95"
"01051129";"Wesselburenerkoog";"Gemeinden";"68,48";"68,48";"67,84"
"01051130";"Wesseln";"Gemeinden";"69,68";"69,15";"68,35"
"01051131";"Westerborstel";"Gemeinden";"90,82";"90,58";"90,34"
"01051132";"Westerdeichstrich";"Gemeinden";"83,07";"83,07";"83,07"
"01051133";"Wiemerstedt";"Gemeinden";"84,25";"84,25";"84,06"
"01051134";"Windbergen";"Gemeinden";"81,28";"81,22";"81,17"
"01051135";"Wolmersdorf";"Gemeinden";"83,47";"83,47";"83,80"
"01051136";"Wrohm";"Gemeinden";"85,15";"84,80";"84,72"
"01051137";"Nordermeldorf";"Gemeinden";"87,24";"87,07";"87,04"
"01051138";"Tensbüttel-Röst";"Gemeinden";"72,37";"72,11";"72,06"
"01051139";"Süderdorf";"Gemeinden";"87,54";"87,29";"87,23"
"01051140";"Oesterwurth";"Gemeinden";"91,33";"91,05";"91,12"
"01051141";"Süderheistedt";"Gemeinden";"86,14";"85,78";"85,66"
"01053001";"Albsfelde";"Gemeinden";"36,12";"36,12";"35,89"
"01053002";"Alt-Mölln";"Gemeinden";"66,46";"66,46";"66,61"
"01053003";"Aumühle";"Gemeinden";"5,75";"5,75";"5,75"
"01053004";"Bäk";"Gemeinden";"59,53";"59,53";"59,53"
"01053005";"Bälau";"Gemeinden";"71,38";"71,23";"71,08"
"01053006";"Basedow";"Gemeinden";"75,23";"75,10";"74,70"
"01053007";"Basthorst";"Gemeinden";"60,26";"60,35";"60,35"
"01053008";"Behlendorf";"Gemeinden";"66,15";"66,05";"66,05"
"01053009";"Berkenthin";"Gemeinden";"75,22";"74,85";"74,76"
"01053010";"Besenthal";"Gemeinden";"53,20";"53,20";"53,68"
"01053011";"Bliestorf";"Gemeinden";"56,23";"54,88";"54,88"
"01053012";"Börnsen";"Gemeinden";"53,27";"53,15";"52,56"
"01053013";"Borstorf";"Gemeinden";"37,50";"37,38";"37,85"
"01053014";"Breitenfelde";"Gemeinden";"81,66";"79,74";"79,74"
"01053015";"Bröthen";"Gemeinden";"55,75";"50,14";"50,05"
"01053016";"Brunsmark";"Gemeinden";"24,01";"24,01";"24,01"
"01053017";"Brunstorf";"Gemeinden";"65,48";"65,41";"65,26"
"01053018";"Buchholz";"Gemeinden";"69,97";"69,62";"69,28"
"01053019";"Buchhorst";"Gemeinden";"64,93";"63,58";"63,78"
"01053020";"Büchen";"Gemeinden";"53,71";"51,22";"53,83"
"01053021";"Dahmker";"Gemeinden";"85,29";"84,31";"84,31"
"01053022";"Dalldorf";"Gemeinden";"70,41";"70,41";"70,41"
"01053023";"Dassendorf";"Gemeinden";"64,86";"64,36";"64,36"
"01053024";"Düchelsdorf";"Gemeinden";"89,04";"88,70";"88,70"
"01053025";"Duvensee";"Gemeinden";"72,48";"72,40";"72,40"
"01053026";"Einhaus";"Gemeinden";"79,05";"78,66";"79,05"
"01053027";"Elmenhorst";"Gemeinden";"66,74";"54,43";"54,43"
"01053028";"Escheburg";"Gemeinden";"58,36";"55,78";"54,88"
"01053029";"Fitzen";"Gemeinden";"64,54";"63,34";"63,23"
"01053030";"Fredeburg";"Gemeinden";"19,43";"19,43";"19,33"
"01053031";"Fuhlenhagen";"Gemeinden";"80,31";"80,31";"80,31"
"01053032";"Geesthacht, Stadt";"Gemeinden";"30,08";"26,95";"26,47"
"01053033";"Giesensdorf";"Gemeinden";"89,01";"88,64";"88,64"
"01053034";"Göldenitz";"Gemeinden";"87,38";"86,56";"86,36"
"01053035";"Göttin";"Gemeinden";"60,65";"60,46";"60,46"
"01053036";"Grabau";"Gemeinden";"80,24";"80,24";"76,25"
"01053037";"Grambek";"Gemeinden";"17,06";"16,59";"16,43"
"01053038";"Grinau";"Gemeinden";"83,21";"83,21";"83,21"
"01053039";"Groß Boden";"Gemeinden";"88,52";"88,15";"88,52"
"01053040";"Groß Disnack";"Gemeinden";"37,56";"36,73";"36,73"
"01053041";"Groß Grönau";"Gemeinden";"51,84";"51,63";"51,43"
"01053042";"Groß Pampau";"Gemeinden";"78,65";"78,42";"78,42"
"01053043";"Groß Sarau";"Gemeinden";"73,07";"71,55";"71,55"
"01053044";"Groß Schenkenberg";"Gemeinden";"83,90";"83,74";"83,74"
"01053045";"Grove";"Gemeinden";"83,71";"83,52";"83,33"
"01053046";"Gudow";"Gemeinden";"45,37";"45,16";"45,07"
"01053047";"Gülzow";"Gemeinden";"59,58";"59,58";"59,58"
"01053048";"Güster";"Gemeinden";"41,90";"41,77";"41,52"
"01053049";"Hamfelde";"Gemeinden";"70,89";"70,89";"70,89"
"01053050";"Hamwarde";"Gemeinden";"73,16";"73,01";"72,56"
"01053051";"Harmsdorf";"Gemeinden";"76,19";"76,47";"75,91"
"01053052";"Havekost";"Gemeinden";"83,59";"83,42";"83,25"
"01053053";"Hohenhorn";"Gemeinden";"84,85";"84,85";"84,70"
"01053054";"Hollenbek";"Gemeinden";"86,27";"86,41";"86,27"
"01053056";"Hornbek";"Gemeinden";"56,03";"55,86";"57,05"
"01053057";"Horst";"Gemeinden";"66,72";"66,31";"66,31"
"01053058";"Juliusburg";"Gemeinden";"78,28";"77,94";"78,11"
"01053059";"Kankelau";"Gemeinden";"85,99";"85,99";"85,99"
"01053060";"Kasseburg";"Gemeinden";"71,86";"71,36";"71,36"
"01053061";"Kastorf";"Gemeinden";"82,03";"80,72";"80,14"
"01053062";"Kittlitz";"Gemeinden";"62,44";"62,38";"62,38"
"01053064";"Klein Pampau";"Gemeinden";"71,46";"71,46";"71,46"
"01053066";"Klein Zecher";"Gemeinden";"84,96";"84,74";"84,52"
"01053067";"Klempau";"Gemeinden";"78,05";"77,86";"77,86"
"01053068";"Klinkrade";"Gemeinden";"90,27";"90,14";"90,00"
"01053069";"Koberg";"Gemeinden";"57,35";"55,84";"55,84"
"01053070";"Köthel";"Gemeinden";"73,68";"72,37";"72,37"
"01053071";"Kollow";"Gemeinden";"76,61";"76,49";"76,37"
"01053072";"Kröppelshagen-Fahrendorf";"Gemeinden";"58,78";"58,78";"58,90"
"01053073";"Krüzen";"Gemeinden";"82,77";"82,89";"82,89"
"01053074";"Krukow";"Gemeinden";"72,29";"72,17";"72,17"
"01053075";"Krummesse";"Gemeinden";"65,97";"64,78";"63,58"
"01053076";"Kuddewörde";"Gemeinden";"76,60";"75,92";"75,92"
"01053077";"Kühsen";"Gemeinden";"78,71";"78,30";"78,43"
"01053078";"Kulpin";"Gemeinden";"87,64";"87,64";"87,48"
"01053079";"Labenz";"Gemeinden";"86,61";"85,91";"85,57"
"01053080";"Langenlehsten";"Gemeinden";"28,63";"28,63";"28,67"
"01053081";"Lankau";"Gemeinden";"56,59";"56,43";"56,28"
"01053082";"Lanze";"Gemeinden";"83,19";"83,19";"83,19"
"01053083";"Lauenburg/ Elbe, Stadt";"Gemeinden";"35,46";"33,79";"33,37"
"01053084";"Lehmrade";"Gemeinden";"43,51";"43,42";"43,42"
