Kennziffer;Raumeinheit;Aggregat;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung
;;;2002;2005;2009;2013;2017;2021;2023
"01001000";"Flensburg, Stadt";"Gemeinden";"41,13";"41,25";"41,52";"42,59";"42,17";"42,04";"42,33"
"01002000";"Kiel, Landeshauptstadt";"Gemeinden";"41,03";"41,28";"41,52";"41,43";"41,53";"41,90";"42,01"
"01003000";"Lübeck, Hansestadt";"Gemeinden";"42,82";"43,26";"43,79";"44,45";"44,69";"44,95";"44,89"
"01004000";"Neumünster, Stadt";"Gemeinden";"41,44";"42,15";"42,83";"44,12";"44,19";"44,50";"44,60"
"01051001";"Albersdorf";"Gemeinden";"41,46";"41,98";"42,97";"44,21";"43,88";"44,57";"45,01"
"01051002";"Arkebek";"Gemeinden";"38,62";"39,06";"41,43";"41,00";"42,36";"41,83";"41,97"
"01051003";"Averlak";"Gemeinden";"39,58";"40,65";"42,08";"44,77";"45,99";"47,87";"46,48"
"01051004";"Bargenstedt";"Gemeinden";"41,04";"43,22";"45,07";"45,84";"45,37";"44,91";"44,65"
"01051005";"Barkenholm";"Gemeinden";"40,38";"41,41";"46,30";"46,19";"47,26";"50,21";"50,95"
"01051006";"Barlt";"Gemeinden";"38,99";"40,69";"41,81";"43,35";"44,18";"44,14";"44,55"
"01051008";"Bergewöhrden";"Gemeinden";"38,79";"38,99";"48,09";"46,68";"46,42";"48,84";"48,79"
"01051010";"Brickeln";"Gemeinden";"38,94";"37,26";"36,08";"37,98";"39,41";"45,32";"46,31"
"01051011";"Brunsbüttel, Stadt";"Gemeinden";"41,40";"42,49";"44,10";"45,40";"46,21";"47,09";"47,06"
"01051012";"Buchholz";"Gemeinden";"36,86";"37,96";"39,59";"41,74";"43,17";"44,89";"44,77"
