Kennziffer;Raumeinheit;Aggregat;Gewerbesteuer;Gewerbesteuer;Gewerbesteuer;Gewerbesteuer;Gewerbesteuer;Gewerbesteuer;Gewerbesteuer;Gewerbesteuer;Gewerbesteuer
;;;1995;1998;2002;2005;2009;2013;2017;2021;2023
"01001000";"Flensburg, Stadt";"Gemeinden";"252,02";"386,83";"220,26";"397,10";"355,60";"459,58";"529,00";"604,68";"935,82"
"01002000";"Kiel, Landeshauptstadt";"Gemeinden";"292,21";"582,88";"353,39";"595,82";"431,39";"537,65";"504,82";"562,89";"1.049,63"
"01003000";"Lübeck, Hansestadt";"Gemeinden";"310,01";"327,11";"237,10";"294,38";"264,88";"415,76";"489,22";"526,00";"704,09"
"01004000";"Neumünster, Stadt";"Gemeinden";"209,05";"333,25";"244,27";"333,09";"243,07";"459,67";"644,22";"711,48";"924,10"
"01051001";"Albersdorf";"Gemeinden";"137,19";"147,61";"83,98";"122,33";"126,27";"265,66";"505,63";"362,92";"615,88"
"01051002";"Arkebek";"Gemeinden";"14,29";"16,39";"49,79";"40,32";"0,00";"146,12";"-28,65";"362,06";"16,02"
"01051003";"Averlak";"Gemeinden";"158,13";"29,90";"56,23";"81,00";"73,95";"187,61";"261,47";"70,03";"94,05"
"01051004";"Bargenstedt";"Gemeinden";"7,75";"19,40";"142,09";"110,04";"169,60";"339,07";"209,89";"363,24";"441,94"
"01051005";"Barkenholm";"Gemeinden";"16,04";"68,06";"10,36";"53,19";"39,77";"73,45";"178,73";"218,54";"109,99"
"01051006";"Barlt";"Gemeinden";"41,76";"35,63";"39,74";"29,41";"70,46";"163,73";"791,14";"1.028,03";"2.304,37"
"01051008";"Bergewöhrden";"Gemeinden";"33,33";"0,00";"0,00";"0,00";"30,30";"26,32";"1.217,79";"669,27";"-112,63"
"01051010";"Brickeln";"Gemeinden";"6,41";"64,17";"9,76";"14,29";"46,08";"66,67";"129,41";"186,06";"219,48"
"01051011";"Brunsbüttel, Stadt";"Gemeinden";"429,76";"1.265,05";"965,83";"432,55";"583,91";"880,43";"1.732,78";"1.739,09";"1.942,04"
"01051012";"Buchholz";"Gemeinden";"24,51";"8,24";"56,76";"28,78";"103,45";"121,57";"108,14";"153,70";"183,53"
"01051013";"Büsum";"Gemeinden";"240,34";"126,40";"142,05";"196,16";"190,86";"359,68";"616,05";"808,82";"1.081,50"
"01051014";"Büsumer Deichhausen";"Gemeinden";"-11,53";"22,28";"61,45";"82,15";"75,76";"229,11";"166,36";"135,51";"160,05"
"01051015";"Bunsoh";"Gemeinden";"61,96";"38,73";"52,20";"41,33";"63,00";"117,05";"24,96";"213,03";"126,28"
"01051016";"Burg (Dithmarschen)";"Gemeinden";"77,26";"83,99";"36,35";"111,96";"106,74";"120,61";"296,80";"145,26";"207,68"
"01051017";"Busenwurth";"Gemeinden";"107,69";"214,08";"-41,30";"15,38";"89,70";"171,14";"289,08";"503,03";"28,58"
"01051019";"Dellstedt";"Gemeinden";"58,24";"62,04";"38,36";"16,25";"33,37";"84,24";"85,11";"162,85";"279,61"
"01051020";"Delve";"Gemeinden";"77,24";"71,03";"43,72";"100,14";"18,03";"66,09";"101,73";"117,80";"345,39"
"01051021";"Diekhusen-Fahrstedt";"Gemeinden";"3,13";"13,07";"19,02";"31,55";"55,33";"90,78";"364,91";"557,51";"891,91"
