Kennziffer;Raumeinheit;Aggregat;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo
;;;1998;2002;2005;2009;2013;2017;2021;2023
"01001000";"Flensburg, Stadt";"Gemeinden";"32,25";"32,63";"33,48";"32,87";"30,65";"27,68";"23,67";"23,94"
"01002000";"Kiel, Landeshauptstadt";"Gemeinden";"28,62";"28,36";"30,98";"29,37";"27,49";"27,07";"26,10";"25,68"
"01003000";"Lübeck, Hansestadt";"Gemeinden";"18,22";"20,00";"22,09";"23,53";"21,04";"17,88";"19,00";"19,53"
"01004000";"Neumünster, Stadt";"Gemeinden";"16,37";"18,74";"21,27";"25,13";"24,56";"25,88";"27,62";"27,06"
"01051001";"Albersdorf";"Gemeinden";"-8,37";"-11,97";"-26,05";"-34,78";"-15,53";"-10,56";"-20,18";"-19,90"
"01051002";"Arkebek";"Gemeinden";"-250,00";"-266,67";"0,00";"-711,11";"-530,77";"-442,86";"-500,00";"-700,00"
"01051003";"Averlak";"Gemeinden";"-372,34";"-653,57";"-618,52";"-561,76";"-324,07";"-184,15";"-158,76";"-274,32"
"01051004";"Bargenstedt";"Gemeinden";"-169,70";"-172,12";"-124,32";"-117,89";"-120,57";"-102,63";"-108,88";"-94,44"
"01051005";"Barkenholm";"Gemeinden";"-833,33";"-1.800,00";"0,00";"-960,00";"-204,35";;;
"01051006";"Barlt";"Gemeinden";"-144,55";"-131,68";"-300,00";"-313,21";"-327,69";"-301,41";"-254,12";"-213,54"
"01051008";"Bergewöhrden";"Gemeinden";"0,00";"0,00";"0,00";"0,00";;;;
"01051010";"Brickeln";"Gemeinden";"-510,00";"-1.775,00";"0,00";"-441,67";"-208,00";;"-564,29";"-820,00"
"01051011";"Brunsbüttel, Stadt";"Gemeinden";"33,06";"31,85";"32,21";"26,93";"29,51";"30,21";"33,88";"33,42"
"01051012";"Buchholz";"Gemeinden";"-681,40";"-528,85";"-447,37";"-312,50";"-243,16";"-240,38";"-244,64";"-260,00"
"01051013";"Büsum";"Gemeinden";"41,24";"38,31";"38,08";"37,20";"38,21";"38,31";"36,85";"38,85"
"01051014";"Büsumer Deichhausen";"Gemeinden";"-12,28";"-4,35";"-69,05";"-69,77";"-111,11";"-111,11";"-159,57";"-89,66"
"01051015";"Bunsoh";"Gemeinden";"-361,40";"-396,72";"-344,26";"-320,31";"-196,88";"-128,44";"-248,19";"-201,06"
"01051016";"Burg (Dithmarschen)";"Gemeinden";"-91,57";"-85,16";"-102,80";"-111,73";"-91,69";"-109,89";"-116,17";"-98,92"
"01051017";"Busenwurth";"Gemeinden";"-7,89";"-60,38";"-117,50";"-248,00";"-202,63";;;
"01051019";"Dellstedt";"Gemeinden";"-276,19";"-445,45";"-715,38";"-700,00";"-522,22";"-614,29";"-194,57";"-394,83"
"01051020";"Delve";"Gemeinden";"-535,48";"-486,11";"-352,17";"-420,93";"-703,57";"-879,17";"-551,22";"-528,89"
"01051021";"Diekhusen-Fahrstedt";"Gemeinden";"-1.231,25";"-1.042,86";"-770,97";"-731,25";"-470,21";"-627,50";"-784,38";"-496,00"
"01051022";"Dingen";"Gemeinden";"-237,93";"-286,67";"-280,65";"-337,04";"-362,75";"-275,38";"-278,87";"-269,44"
"01051023";"Dörpling";"Gemeinden";"-470,97";"-441,18";"-346,15";"-270,21";"-525,00";"-365,91";"-328,30";"-842,31"
"01051024";"Eddelak";"Gemeinden";"-308,59";"-361,11";"-379,41";"-318,90";"-322,76";"-234,34";"-213,51";"-266,86"
"01051026";"Eggstedt";"Gemeinden";"-631,43";"-504,55";"-563,89";"-958,33";"-1.992,31";"-975,86";"-1.422,73";"-1.800,00"
"01051027";"Elpersbüttel";"Gemeinden";"-1.222,22";"-1.518,75";"-1.145,45";"-742,86";"-494,34";"-568,63";"-443,48";"-380,77"
"01051028";"Epenwöhrden";"Gemeinden";"-301,82";"-276,92";"-238,24";"-175,53";"-295,38";"-259,76";"-248,86";"-316,88"
"01051030";"Fedderingen";"Gemeinden";"-1.166,67";"-1.183,33";"0,00";"-358,82";"-206,90";;;"-40,91"
"01051032";"Frestedt";"Gemeinden";"-378,95";"-259,26";"-280,77";"-447,37";"-429,17";"-262,86";;
"01051033";"Friedrichsgabekoog";"Gemeinden";"-425,00";"29,63";"33,33";"67,86";"84,40";"86,41";"87,12";"85,91"
"01051034";"Friedrichskoog";"Gemeinden";"-30,59";"-21,90";"-33,20";"-25,78";"-15,23";"0,00";"-6,92";"-5,70"
"01051035";"Gaushorn";"Gemeinden";"-52,38";"-48,89";"-100,00";"-86,49";"-209,52";;;
"01051036";"Glüsing";"Gemeinden";"-125,00";"-172,73";"0,00";"-516,67";"-342,86";;;"-400,00"
"01051037";"Großenrade";"Gemeinden";"-169,57";"-320,59";"-430,77";"-347,22";"-212,96";;;
"01051038";"Groven";"Gemeinden";"-220,00";"0,00";"-128,57";"-285,71";"-200,00";"9,68";"50,00";"42,00"
"01051039";"Gudendorf";"Gemeinden";"-35,37";"2,29";"46,43";"49,44";"43,51";"46,57";"4,97";"-18,18"
"01051043";"Hedwigenkoog";"Gemeinden";"-48,00";"-80,00";"-18,37";"-228,57";"-133,33";"-147,37";"-47,67";"-60,27"
"01051044";"Heide, Stadt";"Gemeinden";"39,62";"43,92";"42,76";"45,06";"38,09";"36,19";"37,65";"38,33"
"01051045";"Hellschen-Heringsand-Unterschaar";"Gemeinden";"-500,00";"0,00";"0,00";"-460,00";"-118,75";"0,00";"-25,71";"1,89"
"01051046";"Helse";"Gemeinden";"-482,61";"-569,05";"-410,71";"-556,52";"-744,74";"-591,49";"-381,16";"-296,43"
"01051047";"Hemme";"Gemeinden";"-133,33";"-159,62";"-160,00";"-135,29";"-117,11";"-171,21";"-88,24";"-122,11"
"01051048";"Hemmingstedt";"Gemeinden";"-5,64";"-16,17";"-4,00";"10,65";"6,56";"4,58";"6,61";"4,60"
"01051049";"Hennstedt";"Gemeinden";"-66,56";"-76,29";"-85,43";"-22,99";"-30,32";"-20,11";"-40,91";"-46,90"
"01051050";"Hillgroven";"Gemeinden";"0,00";"12,12";"42,42";"48,84";"-200,00";;;
"01051051";"Hochdonn";"Gemeinden";"-883,78";"-377,03";"-424,62";"-800,00";"-198,36";"-267,59";"-388,51";"-406,98"
"01051052";"Hövede";"Gemeinden";"-400,00";"-750,00";"0,00";"-1.800,00";"-200,00";"0,00";;
"01051053";"Hollingstedt";"Gemeinden";"-295,83";"-233,33";"-147,06";"-607,69";"-525,00";"-613,33";"-816,67";"-1.130,00"
"01051054";"Immenstedt";"Gemeinden";"-550,00";"-1.200,00";"-800,00";"-800,00";"-200,00";"-428,57";"0,00";"0,00"
"01051057";"Kaiser-Wilhelm-Koog";"Gemeinden";"-39,06";"-69,70";"8,51";"36,24";"-3,85";"-25,25";"-102,56";"-73,33"
"01051058";"Karolinenkoog";"Gemeinden";"-200,00";"-138,46";"-38,10";"-18,42";"-29,73";"-24,32";"-32,43";"-61,11"
"01051060";"Kleve";"Gemeinden";"-861,54";"-1.028,57";"-807,14";"-531,82";"-201,96";;"-135,00";"-175,00"
"01051061";"Krempel";"Gemeinden";"-278,72";"-1.031,25";"-993,75";"-3.720,00";"-2.066,67";"0,00";"-692,86";"-375,00"
"01051062";"Kronprinzenkoog";"Gemeinden";"-114,75";"-114,52";"-221,69";"-141,59";"-98,65";"-12,37";"-12,46";"-17,24"
"01051063";"Krumstedt";"Gemeinden";"-246,81";"-431,03";"-665,00";"-811,11";"-432,35";"-261,22";"-290,00";"-273,08"
"01051064";"Kuden";"Gemeinden";"-2.614,29";"-3.960,00";"0,00";"-3.880,00";"-204,41";;"-1.264,71";"-1.347,06"
"01051065";"Lehe";"Gemeinden";"-497,87";"-349,28";"-551,06";"-477,78";"-309,88";"-300,00";"-244,35";"-197,76"
"01051067";"Lieth";"Gemeinden";"-147,83";"-140,35";"-114,75";"-82,35";"-202,33";;;
"01051068";"Linden";"Gemeinden";"-354,84";"-407,14";"-255,26";"-346,15";"-248,89";"-385,92";"-327,06";"-360,00"
"01051069";"Lohe-Rickelshof";"Gemeinden";"-146,29";"-120,63";"-178,19";"-156,54";"-150,00";"-174,44";"-151,29";"-115,12"
"01051071";"Lunden";"Gemeinden";"8,54";"8,49";"9,20";"20,71";"-4,56";"-0,40";"-20,29";"-57,65"
"01051072";"Marne, Stadt";"Gemeinden";"0,66";"5,65";"16,41";"17,45";"6,22";"-4,61";"-5,94";"-6,99"
