Kennziffer;Raumeinheit;Aggregat;Einwohner-Arbeitsplatz-Dichte;Einwohner-Arbeitsplatz-Dichte;Einwohner-Arbeitsplatz-Dichte;Einwohner-Arbeitsplatz-Dichte;Einwohner-Arbeitsplatz-Dichte;Einwohner-Arbeitsplatz-Dichte;Einwohner-Arbeitsplatz-Dichte
;;;2000;2004;2009;2013;2017;2021;2023
"01001000";"Flensburg, Stadt";"Gemeinden";"2.183,62";"2.146,15";"2.202,22";"2.167,77";"2.309,82";"2.372,33";"2.518,67"
"01002000";"Kiel, Landeshauptstadt";"Gemeinden";"2.843,42";"2.812,21";"2.885,23";"2.966,48";"3.112,07";"3.150,09";"3.229,41"
"01003000";"Lübeck, Hansestadt";"Gemeinden";"1.373,01";"1.348,17";"1.359,86";"1.407,53";"1.453,72";"1.481,58";"1.504,65"
"01004000";"Neumünster, Stadt";"Gemeinden";"1.550,38";"1.510,65";"1.516,33";"1.552,98";"1.644,03";"1.696,60";"1.711,92"
"01051001";"Albersdorf";"Gemeinden";"259,75";"256,04";"240,19";"252,04";"280,20";"285,46";"286,92"
"01051002";"Arkebek";"Gemeinden";"38,73";"39,31";"34,10";"33,53";"30,64";"34,10";"35,26"
"01051003";"Averlak";"Gemeinden";"78,70";"74,28";"72,33";"70,01";"71,52";"72,30";"73,29"
"01051004";"Bargenstedt";"Gemeinden";"85,89";"85,14";"86,64";"89,92";"91,68";"95,29";"94,62"
"01051005";"Barkenholm";"Gemeinden";"41,06";"38,31";"35,42";"39,14";"31,31";"32,09";
"01051006";"Barlt";"Gemeinden";"41,43";"41,13";"37,67";"37,54";"36,45";"37,67";"36,58"
"01051008";"Bergewöhrden";"Gemeinden";"11,36";"13,26";"12,50";"14,39";"12,50";"14,02";
"01051010";"Brickeln";"Gemeinden";"33,61";"37,73";"37,73";"38,71";"36,24";"34,93";"32,13"
"01051011";"Brunsbüttel, Stadt";"Gemeinden";"307,31";"304,37";"290,63";"289,73";"297,78";"298,71";"307,10"
"01051012";"Buchholz";"Gemeinden";"79,78";"80,55";"78,69";"76,63";"76,51";"75,55";"75,89"
"01051013";"Büsum";"Gemeinden";"824,70";"791,41";"818,98";"794,46";"820,17";"841,86";"883,96"
"01051014";"Büsumer Deichhausen";"Gemeinden";"141,11";"138,33";"129,97";"144,95";"141,46";"140,77";"142,51"
"01051015";"Bunsoh";"Gemeinden";"80,77";"81,20";"79,74";"75,06";"75,83";"72,68";"73,62"
"01051016";"Burg (Dithmarschen)";"Gemeinden";"458,50";"436,24";"428,23";"428,58";"424,71";"431,29";"430,49"
"01051017";"Busenwurth";"Gemeinden";"39,84";"38,75";"32,31";"33,30";"31,32";"31,32";
"01051019";"Dellstedt";"Gemeinden";"40,38";"37,53";"38,40";"35,46";"35,65";"36,52";"36,20"
