Kennziffer;Raumeinheit;Aggregat;Beschäftigte am WO mit Berufsabschluss;Beschäftigte am WO mit Berufsabschluss;Beschäftigte am WO mit Berufsabschluss;Beschäftigte am WO mit Berufsabschluss
;;;2013;2017;2021;2023
"01001";"Flensburg, Stadt";"Kreise";"59,24";"58,11";"54,47";"52,74"
"01002";"Kiel, Landeshauptstadt";"Kreise";"55,43";"54,43";"51,80";"50,28"
"01003";"Lübeck, Hansestadt";"Kreise";"61,52";"61,65";"59,90";"58,43"
"01004";"Neumünster, Stadt";"Kreise";"64,86";"66,09";"65,23";"64,27"
"01051";"Dithmarschen";"Kreise";"67,64";"69,20";"69,38";"69,19"
"01053";"Herzogtum Lauenburg";"Kreise";"65,27";"67,15";"66,30";"65,44"
"01054";"Nordfriesland";"Kreise";"65,83";"68,11";"68,74";"68,21"
"01055";"Ostholstein";"Kreise";"68,06";"69,98";"69,59";"68,47"
"01056";"Pinneberg";"Kreise";"62,26";"63,25";"62,08";"60,88"
"01057";"Plön";"Kreise";"67,51";"68,89";"68,76";"67,67"
"01058";"Rendsburg-Eckernförde";"Kreise";"65,79";"67,65";"66,95";"66,20"
"01059";"Schleswig-Flensburg";"Kreise";"67,98";"69,32";"69,78";"69,18"
"01060";"Segeberg";"Kreise";"64,88";"66,82";"66,55";"65,53"
"01061";"Steinburg";"Kreise";"67,02";"69,06";"68,98";"68,51"
"01062";"Stormarn";"Kreise";"62,75";"63,73";"62,54";"61,49"
"02000";"Hamburg, Freie und Hansestadt";"Kreise";"48,74";"48,04";"45,91";"44,20"
"03101";"Braunschweig, Stadt";"Kreise";"53,16";"52,50";"49,90";"48,59"
"03102";"Salzgitter, Stadt";"Kreise";"65,58";"66,37";"64,50";"63,29"
"03103";"Wolfsburg, Stadt";"Kreise";"60,04";"60,33";"58,70";"57,43"
"03151";"Gifhorn";"Kreise";"65,19";"66,80";"66,38";"65,62"
"03153";"Goslar";"Kreise";"68,91";"69,98";"69,11";"68,59"
"03154";"Helmstedt";"Kreise";"68,75";"70,25";"69,88";"68,70"
"03155";"Northeim";"Kreise";"70,95";"71,99";"71,55";"70,39"
"03157";"Peine";"Kreise";"68,69";"69,76";"68,78";"67,36"
"03158";"Wolfenbüttel";"Kreise";"65,56";"66,08";"65,62";"64,77"
"03159";"Göttingen";"Kreise";"63,36";"63,00";"61,51";"60,01"
"03241";"Region Hannover";"Kreise";"59,66";"59,35";"57,24";"55,79"
"03251";"Diepholz";"Kreise";"67,08";"68,54";"68,52";"67,89"
"03252";"Hameln-Pyrmont";"Kreise";"66,91";"68,87";"67,95";"67,13"
"03254";"Hildesheim";"Kreise";"67,24";"68,32";"66,77";"65,68"
"03255";"Holzminden";"Kreise";"70,06";"71,15";"70,47";"69,89"
"03256";"Nienburg (Weser)";"Kreise";"68,10";"69,15";"69,37";"69,24"
"03257";"Schaumburg";"Kreise";"69,78";"70,94";"69,74";"68,88"
"03351";"Celle";"Kreise";"68,54";"69,97";"69,25";"68,11"
"03352";"Cuxhaven";"Kreise";"66,99";"69,18";"70,16";"70,07"
"03353";"Harburg";"Kreise";"64,75";"65,72";"64,94";"63,71"
"03354";"Lüchow-Dannenberg";"Kreise";"68,51";"69,86";"69,37";"68,49"
"03355";"Lüneburg";"Kreise";"62,57";"63,85";"62,37";"61,10"
