Kennziffer;Raumeinheit;Aggregat;Sozialversicherungspflichtig Beschäftigte am Wohnort;Sozialversicherungspflichtig Beschäftigte am Wohnort;Sozialversicherungspflichtig Beschäftigte am Wohnort;Sozialversicherungspflichtig Beschäftigte am Wohnort;Sozialversicherungspflichtig Beschäftigte am Wohnort;Sozialversicherungspflichtig Beschäftigte am Wohnort;Sozialversicherungspflichtig Beschäftigte am Wohnort;Sozialversicherungspflichtig Beschäftigte am Wohnort
;;;1998;2002;2005;2009;2013;2017;2021;2023
"01001000";"Flensburg, Stadt";"Gemeinden";"25.480,00";"25.315,00";"23.370,00";"24.471,00";"27.016,00";"30.733,00";"33.142,00";"35.314,00"
"01002000";"Kiel, Landeshauptstadt";"Gemeinden";"72.202,00";"74.122,00";"68.279,00";"73.491,00";"80.005,00";"88.428,00";"94.163,00";"97.634,00"
"01003000";"Lübeck, Hansestadt";"Gemeinden";"65.135,00";"64.240,00";"58.861,00";"62.309,00";"69.777,00";"78.029,00";"81.813,00";"84.648,00"
"01004000";"Neumünster, Stadt";"Gemeinden";"26.145,00";"25.056,00";"22.531,00";"23.748,00";"25.751,00";"28.506,00";"30.432,00";"31.512,00"
"01051001";"Albersdorf";"Gemeinden";"906,00";"973,00";"871,00";"899,00";"1.019,00";"1.194,00";"1.339,00";"1.373,00"
"01051002";"Arkebek";"Gemeinden";"70,00";"77,00";"78,00";"73,00";"81,00";"76,00";"96,00";"97,00"
"01051003";"Averlak";"Gemeinden";"222,00";"211,00";"194,00";"225,00";"228,00";"233,00";"251,00";"277,00"
"01051004";"Bargenstedt";"Gemeinden";"267,00";"283,00";"249,00";"268,00";"311,00";"308,00";"353,00";"350,00"
"01051005";"Barkenholm";"Gemeinden";"56,00";"57,00";"59,00";"53,00";"70,00";"66,00";"62,00";"62,00"
"01051006";"Barlt";"Gemeinden";"247,00";"234,00";"208,00";"219,00";"278,00";"285,00";"301,00";"301,00"
"01051008";"Bergewöhrden";"Gemeinden";"8,00";"0,00";"6,00";"8,00";"4,00";"5,00";"14,00";"12,00"
"01051010";"Brickeln";"Gemeinden";"61,00";"225,00";"75,00";"65,00";"77,00";"83,00";"93,00";"92,00"
"01051011";"Brunsbüttel, Stadt";"Gemeinden";"4.331,00";"4.350,00";"4.093,00";"4.189,00";"4.352,00";"4.684,00";"4.692,00";"4.854,00"
"01051012";"Buchholz";"Gemeinden";"336,00";"327,00";"312,00";"297,00";"325,00";"354,00";"386,00";"414,00"
"01051013";"Büsum";"Gemeinden";"1.194,00";"1.166,00";"1.034,00";"1.121,00";"1.207,00";"1.288,00";"1.427,00";"1.525,00"
"01051014";"Büsumer Deichhausen";"Gemeinden";"64,00";"48,00";"71,00";"73,00";"95,00";"95,00";"122,00";"110,00"
"01051015";"Bunsoh";"Gemeinden";"263,00";"303,00";"271,00";"269,00";"284,00";"249,00";"289,00";"283,00"
"01051016";"Burg (Dithmarschen)";"Gemeinden";"1.205,00";"1.048,00";"1.085,00";"1.137,00";"1.199,00";"1.336,00";"1.444,00";"1.478,00"
"01051017";"Busenwurth";"Gemeinden";"82,00";"85,00";"87,00";"87,00";"115,00";"111,00";"125,00";"135,00"
"01051019";"Dellstedt";"Gemeinden";"237,00";"240,00";"212,00";"216,00";"224,00";"250,00";"271,00";"287,00"
"01051020";"Delve";"Gemeinden";"197,00";"211,00";"208,00";"224,00";"225,00";"235,00";"267,00";"283,00"
"01051021";"Diekhusen-Fahrstedt";"Gemeinden";"213,00";"240,00";"270,00";"266,00";"268,00";"291,00";"283,00";"298,00"
"01051022";"Dingen";"Gemeinden";"196,00";"232,00";"236,00";"236,00";"236,00";"244,00";"269,00";"266,00"
"01051023";"Dörpling";"Gemeinden";"177,00";"184,00";"174,00";"174,00";"176,00";"205,00";"227,00";"245,00"
"01051024";"Eddelak";"Gemeinden";"523,00";"498,00";"489,00";"532,00";"520,00";"555,00";"580,00";"620,00"
"01051026";"Eggstedt";"Gemeinden";"256,00";"266,00";"239,00";"254,00";"272,00";"312,00";"335,00";"323,00"
"01051027";"Elpersbüttel";"Gemeinden";"238,00";"259,00";"274,00";"295,00";"315,00";"341,00";"375,00";"375,00"
"01051028";"Epenwöhrden";"Gemeinden";"221,00";"245,00";"230,00";"259,00";"257,00";"295,00";"307,00";"321,00"
"01051030";"Fedderingen";"Gemeinden";"76,00";"77,00";"71,00";"78,00";"89,00";"113,00";"122,00";"124,00"
"01051032";"Frestedt";"Gemeinden";"91,00";"97,00";"99,00";"104,00";"127,00";"127,00";"129,00";"147,00"
"01051033";"Friedrichsgabekoog";"Gemeinden";"23,00";"19,00";"20,00";"18,00";"15,00";"14,00";"17,00";"20,00"
"01051034";"Friedrichskoog";"Gemeinden";"666,00";"679,00";"654,00";"683,00";"672,00";"755,00";"773,00";"797,00"
"01051035";"Gaushorn";"Gemeinden";"64,00";"67,00";"76,00";"69,00";"65,00";"71,00";"65,00";"67,00"
"01051036";"Glüsing";"Gemeinden";"36,00";"30,00";"31,00";"37,00";"31,00";"37,00";"31,00";"35,00"
"01051037";"Großenrade";"Gemeinden";"124,00";"143,00";"138,00";"161,00";"169,00";"189,00";"185,00";"204,00"
"01051038";"Groven";"Gemeinden";"16,00";"0,00";"16,00";"27,00";"21,00";"28,00";"25,00";"29,00"
"01051039";"Gudendorf";"Gemeinden";"111,00";"128,00";"120,00";"136,00";"148,00";"148,00";"153,00";"169,00"
"01051043";"Hedwigenkoog";"Gemeinden";"74,00";"72,00";"58,00";"69,00";"98,00";"94,00";"127,00";"117,00"
"01051044";"Heide, Stadt";"Gemeinden";"6.046,00";"5.855,00";"5.362,00";"5.657,00";"6.592,00";"7.349,00";"7.784,00";"8.233,00"
"01051045";"Hellschen-Heringsand-Unterschaar";"Gemeinden";"24,00";"0,00";"30,00";"28,00";"35,00";"42,00";"44,00";"52,00"
"01051046";"Helse";"Gemeinden";"268,00";"281,00";"286,00";"302,00";"321,00";"325,00";"332,00";"333,00"
"01051047";"Hemme";"Gemeinden";"119,00";"135,00";"117,00";"160,00";"165,00";"179,00";"192,00";"211,00"
"01051048";"Hemmingstedt";"Gemeinden";"1.030,00";"1.085,00";"989,00";"982,00";"1.038,00";"1.123,00";"1.243,00";"1.243,00"
"01051049";"Hennstedt";"Gemeinden";"513,00";"513,00";"471,00";"551,00";"603,00";"638,00";"775,00";"805,00"
"01051050";"Hillgroven";"Gemeinden";"26,00";"29,00";"19,00";"22,00";"24,00";"22,00";"23,00";"21,00"
"01051051";"Hochdonn";"Gemeinden";"364,00";"353,00";"341,00";"360,00";"364,00";"397,00";"425,00";"436,00"
"01051052";"Hövede";"Gemeinden";"16,00";"17,00";"16,00";"19,00";"24,00";"23,00";"20,00";"20,00"
"01051053";"Hollingstedt";"Gemeinden";"95,00";"100,00";"84,00";"92,00";"100,00";"107,00";"110,00";"123,00"
"01051054";"Immenstedt";"Gemeinden";"26,00";"26,00";"27,00";"27,00";"27,00";"37,00";"43,00";"48,00"
"01051057";"Kaiser-Wilhelm-Koog";"Gemeinden";"89,00";"112,00";"86,00";"95,00";"108,00";"124,00";"158,00";"156,00"
"01051058";"Karolinenkoog";"Gemeinden";"36,00";"31,00";"29,00";"45,00";"45,00";"46,00";"49,00";"58,00"
"01051060";"Kleve";"Gemeinden";"125,00";"158,00";"127,00";"139,00";"155,00";"157,00";"141,00";"165,00"
"01051061";"Krempel";"Gemeinden";"178,00";"181,00";"175,00";"191,00";"195,00";"211,00";"222,00";"228,00"
"01051062";"Kronprinzenkoog";"Gemeinden";"262,00";"266,00";"267,00";"273,00";"294,00";"318,00";"350,00";"374,00"
"01051063";"Krumstedt";"Gemeinden";"163,00";"154,00";"153,00";"164,00";"181,00";"177,00";"195,00";"194,00"
"01051064";"Kuden";"Gemeinden";"194,00";"203,00";"201,00";"199,00";"207,00";"226,00";"232,00";"246,00"
"01051065";"Lehe";"Gemeinden";"281,00";"310,00";"306,00";"312,00";"334,00";"376,00";"396,00";"399,00"
"01051067";"Lieth";"Gemeinden";"114,00";"137,00";"131,00";"124,00";"130,00";"120,00";"132,00";"122,00"
"01051068";"Linden";"Gemeinden";"282,00";"284,00";"270,00";"290,00";"314,00";"344,00";"362,00";"368,00"
"01051069";"Lohe-Rickelshof";"Gemeinden";"564,00";"556,00";"523,00";"608,00";"674,00";"741,00";"779,00";"811,00"
"01051071";"Lunden";"Gemeinden";"471,00";"431,00";"375,00";"402,00";"459,00";"503,00";"574,00";"618,00"
"01051072";"Marne, Stadt";"Gemeinden";"1.804,00";"1.838,00";"1.651,00";"1.670,00";"1.760,00";"1.950,00";"2.175,00";"2.266,00"
"01051073";"Marnerdeich";"Gemeinden";"131,00";"84,00";"132,00";"142,00";"131,00";"138,00";"143,00";"137,00"
"01051074";"Meldorf, Stadt";"Gemeinden";"2.293,00";"2.171,00";"1.969,00";"2.083,00";"2.282,00";"2.409,00";"2.540,00";"2.564,00"
"01051075";"Neuenkirchen";"Gemeinden";"291,00";"330,00";"304,00";"362,00";"397,00";"417,00";"457,00";"461,00"
"01051076";"Neufeld";"Gemeinden";"197,00";"206,00";"186,00";"196,00";"201,00";"216,00";"249,00";"257,00"
"01051077";"Neufelderkoog";"Gemeinden";"35,00";"24,00";"26,00";"26,00";"27,00";"33,00";"45,00";"33,00"
"01051078";"Nindorf";"Gemeinden";"319,00";"339,00";"324,00";"354,00";"416,00";"439,00";"459,00";"446,00"
"01051079";"Norddeich";"Gemeinden";"142,00";"142,00";"130,00";"144,00";"149,00";"165,00";"180,00";"206,00"
"01051080";"Norderheistedt";"Gemeinden";"38,00";"45,00";"37,00";"45,00";"45,00";"53,00";"56,00";"45,00"
"01051081";"Norderwöhrden";"Gemeinden";"56,00";"62,00";"57,00";"71,00";"87,00";"83,00";"75,00";"74,00"
"01051082";"Nordhastedt";"Gemeinden";"847,00";"884,00";"816,00";"837,00";"960,00";"1.038,00";"1.084,00";"1.110,00"
"01051083";"Odderade";"Gemeinden";"87,00";"99,00";"99,00";"109,00";"113,00";"130,00";"138,00";"152,00"
"01051084";"Oesterdeichstrich";"Gemeinden";"74,00";"79,00";"69,00";"72,00";"74,00";"85,00";"127,00";"112,00"
"01051085";"Offenbüttel";"Gemeinden";"84,00";"80,00";"82,00";"84,00";"76,00";"84,00";"92,00";"81,00"
"01051086";"Osterrade";"Gemeinden";"125,00";"119,00";"123,00";"120,00";"129,00";"133,00";"143,00";"139,00"
"01051087";"Ostrohe";"Gemeinden";"266,00";"292,00";"290,00";"300,00";"317,00";"348,00";"346,00";"349,00"
"01051088";"Pahlen";"Gemeinden";"349,00";"343,00";"303,00";"325,00";"370,00";"415,00";"475,00";"481,00"
"01051089";"Quickborn";"Gemeinden";"55,00";"0,00";"58,00";"57,00";"69,00";"76,00";"70,00";"66,00"
"01051090";"Ramhusen";"Gemeinden";"42,00";"47,00";"47,00";"46,00";"56,00";"53,00";"63,00";"65,00"
"01051092";"Rehm-Flehde-Bargen";"Gemeinden";"161,00";"148,00";"134,00";"146,00";"166,00";"177,00";"208,00";"222,00"
"01051093";"Reinsbüttel";"Gemeinden";"117,00";"127,00";"117,00";"132,00";"146,00";"168,00";"181,00";"153,00"
"01051096";"Sankt Annen";"Gemeinden";"97,00";"93,00";"83,00";"84,00";"96,00";"112,00";"103,00";"118,00"
"01051097";"Sankt Michaelisdonn";"Gemeinden";"1.090,00";"1.100,00";"1.026,00";"1.057,00";"1.167,00";"1.218,00";"1.267,00";"1.341,00"
"01051098";"Sarzbüttel";"Gemeinden";"225,00";"224,00";"225,00";"229,00";"234,00";"258,00";"304,00";"316,00"
"01051099";"Schafstedt";"Gemeinden";"384,00";"399,00";"396,00";"420,00";"455,00";"483,00";"537,00";"571,00"
"01051100";"Schalkholz";"Gemeinden";"181,00";"171,00";"173,00";"182,00";"203,00";"234,00";"245,00";"242,00"
"01051102";"Schlichting";"Gemeinden";"55,00";"57,00";"55,00";"59,00";"65,00";"81,00";"76,00";"77,00"
"01051103";"Schmedeswurth";"Gemeinden";"55,00";"67,00";"68,00";"63,00";"62,00";"56,00";"65,00";"72,00"
"01051104";"Schrum";"Gemeinden";"24,00";"22,00";"21,00";"27,00";"21,00";"25,00";"22,00";"25,00"
"01051105";"Schülp";"Gemeinden";"129,00";"138,00";"143,00";"147,00";"147,00";"161,00";"179,00";"191,00"
"01051107";"Stelle-Wittenwurth";"Gemeinden";"126,00";"134,00";"141,00";"142,00";"157,00";"147,00";"171,00";"195,00"
"01051108";"Strübbel";"Gemeinden";"28,00";"23,00";"23,00";"17,00";"26,00";"30,00";"38,00";"38,00"
"01051109";"Süderdeich";"Gemeinden";"146,00";"166,00";"131,00";"142,00";"149,00";"168,00";"160,00";"160,00"
"01051110";"Süderhastedt";"Gemeinden";"223,00";"242,00";"233,00";"244,00";"262,00";"283,00";"289,00";"320,00"
"01051113";"Wöhrden";"Gemeinden";"420,00";"420,00";"388,00";"443,00";"472,00";"510,00";"486,00";"529,00"
"01051114";"Tellingstedt";"Gemeinden";"849,00";"796,00";"703,00";"776,00";"840,00";"951,00";"986,00";"1.029,00"
"01051117";"Tielenhemme";"Gemeinden";"46,00";"43,00";"44,00";"40,00";"45,00";"52,00";"47,00";"47,00"
"01051118";"Trennewurth";"Gemeinden";"86,00";"0,00";"77,00";"80,00";"85,00";"99,00";"98,00";"101,00"
"01051119";"Volsemenhusen";"Gemeinden";"89,00";"103,00";"83,00";"82,00";"99,00";"107,00";"114,00";"116,00"
"01051120";"Wallen";"Gemeinden";"11,00";"0,00";"8,00";"7,00";"8,00";"9,00";"14,00";"9,00"
"01051121";"Warwerort";"Gemeinden";"47,00";"51,00";"70,00";"78,00";"69,00";"67,00";"78,00";"78,00"
"01051122";"Weddingstedt";"Gemeinden";"740,00";"685,00";"689,00";"721,00";"848,00";"871,00";"900,00";"924,00"
"01051125";"Welmbüttel";"Gemeinden";"133,00";"133,00";"125,00";"129,00";"151,00";"162,00";"181,00";"176,00"
"01051126";"Wennbüttel";"Gemeinden";"28,00";"24,00";"22,00";"26,00";"24,00";"31,00";"29,00";"25,00"
"01051127";"Wesselburen, Stadt";"Gemeinden";"933,00";"892,00";"794,00";"830,00";"885,00";"1.120,00";"1.311,00";"1.403,00"
"01051128";"Wesselburener Deichhausen";"Gemeinden";"28,00";"10,00";"33,00";"42,00";"46,00";"36,00";"50,00";"44,00"
"01051129";"Wesselburenerkoog";"Gemeinden";"46,00";"41,00";"30,00";"44,00";"59,00";"51,00";"58,00";"65,00"
"01051130";"Wesseln";"Gemeinden";"336,00";"360,00";"345,00";"417,00";"498,00";"509,00";"519,00";"539,00"
"01051131";"Westerborstel";"Gemeinden";"28,00";"32,00";"31,00";"35,00";"39,00";"39,00";"39,00";"48,00"
"01051132";"Westerdeichstrich";"Gemeinden";"236,00";"202,00";"194,00";"211,00";"235,00";"270,00";"296,00";"304,00"
"01051133";"Wiemerstedt";"Gemeinden";"45,00";"46,00";"44,00";"42,00";"59,00";"67,00";"62,00";"55,00"
"01051134";"Windbergen";"Gemeinden";"236,00";"239,00";"231,00";"238,00";"278,00";"303,00";"333,00";"319,00"
"01051135";"Wolmersdorf";"Gemeinden";"108,00";"105,00";"103,00";"106,00";"120,00";"128,00";"132,00";"137,00"
"01051136";"Wrohm";"Gemeinden";"198,00";"209,00";"216,00";"212,00";"229,00";"255,00";"281,00";"278,00"
"01051137";"Nordermeldorf";"Gemeinden";"180,00";"177,00";"152,00";"164,00";"195,00";"225,00";"237,00";"247,00"
"01051138";"Tensbüttel-Röst";"Gemeinden";"181,00";"169,00";"180,00";"170,00";"199,00";"231,00";"252,00";"247,00"
"01051139";"Süderdorf";"Gemeinden";"85,00";"97,00";"97,00";"98,00";"118,00";"115,00";"121,00";"115,00"
"01051140";"Oesterwurth";"Gemeinden";"64,00";"68,00";"65,00";"70,00";"75,00";"94,00";"92,00";"103,00"
"01051141";"Süderheistedt";"Gemeinden";"155,00";"160,00";"168,00";"180,00";"191,00";"217,00";"217,00";"220,00"
