Kennziffer;Raumeinheit;Aggregat;Monatliches Haushaltseinkommen;Monatliches Haushaltseinkommen;Monatliches Haushaltseinkommen;Monatliches Haushaltseinkommen;Monatliches Haushaltseinkommen;Monatliches Haushaltseinkommen;Monatliches Haushaltseinkommen;Monatliches Haushaltseinkommen
;;;2000;2002;2005;2009;2013;2017;2021;2022
"01001";"Flensburg, Stadt";"Kreise";"1.178,74";"1.200,55";"1.269,74";"1.346,54";"1.493,48";"1.531,61";"1.644,92";"1.680,57"
"01002";"Kiel, Landeshauptstadt";"Kreise";"1.187,00";"1.225,67";"1.293,39";"1.364,78";"1.486,06";"1.565,91";"1.787,17";"1.849,88"
"01003";"Lübeck, Hansestadt";"Kreise";"1.205,55";"1.266,73";"1.378,74";"1.424,41";"1.489,36";"1.660,43";"1.855,25";"1.948,54"
"01004";"Neumünster, Stadt";"Kreise";"1.237,31";"1.273,20";"1.296,05";"1.358,52";"1.448,35";"1.565,00";"1.763,37";"1.879,32"
"01051";"Dithmarschen";"Kreise";"1.165,73";"1.220,31";"1.335,31";"1.436,27";"1.623,89";"1.886,64";"2.066,33";"2.255,53"
"01053";"Herzogtum Lauenburg";"Kreise";"1.393,37";"1.434,62";"1.528,24";"1.641,95";"1.760,47";"2.193,80";"2.137,43";"2.249,14"
"01054";"Nordfriesland";"Kreise";"1.204,18";"1.243,35";"1.376,40";"1.562,07";"1.800,59";"2.115,10";"2.324,97";"2.535,42"
"01055";"Ostholstein";"Kreise";"1.254,31";"1.302,39";"1.418,05";"1.496,63";"1.689,29";"1.903,19";"2.145,59";"2.310,18"
"01056";"Pinneberg";"Kreise";"1.484,32";"1.522,17";"1.598,72";"1.689,17";"1.868,28";"2.002,53";"2.208,85";"2.337,11"
"01057";"Plön";"Kreise";"1.233,65";"1.292,71";"1.370,14";"1.451,19";"1.704,02";"1.873,67";"2.137,44";"2.266,09"
"01058";"Rendsburg-Eckernförde";"Kreise";"1.288,08";"1.344,70";"1.441,07";"1.547,97";"1.737,93";"1.918,17";"2.141,46";"2.293,81"
"01059";"Schleswig-Flensburg";"Kreise";"1.191,56";"1.238,25";"1.365,24";"1.463,68";"1.642,17";"1.855,51";"2.015,48";"2.147,49"
"01060";"Segeberg";"Kreise";"1.401,20";"1.433,81";"1.504,69";"1.612,23";"1.750,22";"1.891,20";"2.089,69";"2.230,63"
"01061";"Steinburg";"Kreise";"1.222,30";"1.263,25";"1.361,96";"1.462,33";"1.628,43";"1.783,53";"2.002,42";"2.123,85"
"01062";"Stormarn";"Kreise";"1.586,88";"1.649,03";"1.763,16";"1.812,16";"1.911,14";"2.076,76";"2.326,14";"2.481,93"
"02000";"Hamburg, Freie und Hansestadt";"Kreise";"1.459,73";"1.524,89";"1.697,60";"1.659,47";"1.890,91";"2.005,43";"2.168,34";"2.341,93"
"03101";"Braunschweig, Stadt";"Kreise";"1.315,31";"1.371,44";"1.433,99";"1.492,93";"1.660,38";"1.828,24";"2.018,60";"2.074,48"
"03102";"Salzgitter, Stadt";"Kreise";"1.218,47";"1.259,80";"1.300,83";"1.391,85";"1.561,83";"1.600,36";"1.743,13";"1.793,42"
"03103";"Wolfsburg, Stadt";"Kreise";"1.359,50";"1.439,25";"1.520,29";"1.596,30";"1.873,87";"1.977,08";"2.158,84";"2.169,76"
"03151";"Gifhorn";"Kreise";"1.247,90";"1.303,04";"1.364,26";"1.494,45";"1.782,95";"1.900,61";"2.100,03";"2.259,13"
"03153";"Goslar";"Kreise";"1.231,42";"1.277,76";"1.347,72";"1.426,66";"1.566,90";"1.711,50";"1.904,44";"2.102,61"
"03154";"Helmstedt";"Kreise";"1.297,14";"1.350,51";"1.401,49";"1.509,29";"1.743,29";"1.872,48";"2.079,71";"2.198,25"
"03155";"Northeim";"Kreise";"1.231,89";"1.279,26";"1.340,18";"1.449,16";"1.619,77";"1.793,30";"2.016,81";"2.232,01"
"03157";"Peine";"Kreise";"1.264,72";"1.311,95";"1.359,28";"1.462,20";"1.642,54";"1.793,26";"1.969,79";"2.082,25"
"03158";"Wolfenbüttel";"Kreise";"1.256,15";"1.289,71";"1.345,89";"1.458,86";"1.670,27";"1.814,85";"2.025,39";"2.148,68"
"03159";"Göttingen";"Kreise";"1.165,60";"1.232,47";"1.293,89";"1.352,10";"1.560,40";"1.702,65";"1.894,76";"1.976,99"
"03241";"Region Hannover";"Kreise";"1.313,51";"1.350,91";"1.400,77";"1.492,27";"1.632,59";"1.762,98";"1.927,05";"2.063,45"
"03251";"Diepholz";"Kreise";"1.296,25";"1.337,20";"1.423,63";"1.523,32";"1.735,03";"1.920,01";"2.087,86";"2.244,45"
"03252";"Hameln-Pyrmont";"Kreise";"1.268,01";"1.302,92";"1.353,45";"1.460,02";"1.643,82";"1.796,42";"1.960,96";"2.039,86"
"03254";"Hildesheim";"Kreise";"1.260,38";"1.304,61";"1.353,17";"1.435,63";"1.582,69";"1.739,90";"1.928,96";"2.085,11"
"03255";"Holzminden";"Kreise";"1.255,61";"1.293,28";"1.339,97";"1.461,04";"1.580,20";"1.715,66";"1.911,13";"2.128,56"
"03256";"Nienburg (Weser)";"Kreise";"1.199,52";"1.232,58";"1.299,38";"1.401,03";"1.589,68";"1.736,48";"1.910,94";"2.057,08"
"03257";"Schaumburg";"Kreise";"1.276,58";"1.326,99";"1.369,80";"1.460,80";"1.638,85";"1.783,76";"1.970,89";"2.103,54"
"03351";"Celle";"Kreise";"1.200,37";"1.202,28";"1.198,18";"1.402,78";"1.567,67";"1.695,79";"1.861,57";"2.055,84"
"03352";"Cuxhaven";"Kreise";"1.189,71";"1.230,17";"1.312,45";"1.449,99";"1.624,76";"1.832,10";"1.969,68";"2.122,72"
"03353";"Harburg";"Kreise";"1.466,18";"1.548,63";"1.665,20";"1.734,05";"1.920,66";"2.082,66";"2.268,85";"2.372,87"
"03354";"Lüchow-Dannenberg";"Kreise";"1.125,85";"1.175,91";"1.269,87";"1.364,02";"1.527,56";"1.706,54";"1.862,59";"2.076,28"
"03355";"Lüneburg";"Kreise";"1.185,75";"1.238,23";"1.307,33";"1.401,25";"1.554,61";"1.738,05";"1.910,17";"2.113,24"
"03356";"Osterholz";"Kreise";"1.299,57";"1.349,77";"1.415,72";"1.516,83";"1.685,19";"1.879,89";"2.045,98";"2.207,10"
"03357";"Rotenburg (Wümme)";"Kreise";"1.207,01";"1.248,08";"1.336,70";"1.453,93";"1.673,25";"1.853,79";"2.028,20";"2.205,73"
"03358";"Heidekreis";"Kreise";"1.185,54";"1.230,23";"1.293,40";"1.390,36";"1.579,22";"1.735,55";"1.866,80";"1.980,70"
"03359";"Stade";"Kreise";"1.308,74";"1.359,35";"1.439,61";"1.541,60";"1.706,90";"1.879,20";"2.044,95";"2.192,49"
"03360";"Uelzen";"Kreise";"1.176,47";"1.217,70";"1.280,27";"1.396,70";"1.610,23";"1.727,05";"1.917,05";"2.099,64"
"03361";"Verden";"Kreise";"1.358,70";"1.411,88";"1.503,08";"1.636,45";"1.786,30";"1.916,34";"2.065,24";"2.230,79"
"03401";"Delmenhorst, Stadt";"Kreise";"1.239,90";"1.281,63";"1.322,14";"1.388,56";"1.474,63";"1.568,98";"1.705,59";"1.708,13"
