Kennziffer;Raumeinheit;Aggregat;Einkommensteuer;Einkommensteuer;Einkommensteuer;Einkommensteuer;Einkommensteuer;Einkommensteuer;Einkommensteuer;Einkommensteuer;Einkommensteuer
;;;1995;1998;2002;2005;2009;2013;2017;2021;2023
"01001000";"Flensburg, Stadt";"Gemeinden";"302,74";"297,44";"242,72";"195,68";"239,52";"310,60";"371,39";"388,52";"409,91"
"01002000";"Kiel, Landeshauptstadt";"Gemeinden";"311,65";"308,94";"260,65";"210,90";"271,01";"314,47";"399,22";"441,55";"482,25"
"01003000";"Lübeck, Hansestadt";"Gemeinden";"289,98";"290,50";"241,53";"198,30";"252,60";"294,82";"375,75";"429,14";"477,46"
"01004000";"Neumünster, Stadt";"Gemeinden";"299,81";"291,05";"250,85";"206,82";"242,74";"275,74";"337,28";"379,56";"424,01"
"01051001";"Albersdorf";"Gemeinden";"226,76";"224,71";"195,48";"164,42";"212,19";"250,22";"306,11";"330,24";"369,34"
"01051002";"Arkebek";"Gemeinden";"223,81";"180,33";"178,42";"149,19";"264,32";"324,20";"435,69";"435,05";"460,66"
"01051003";"Averlak";"Gemeinden";"259,04";"263,08";"247,72";"169,78";"229,90";"320,14";"430,40";"495,55";"523,32"
"01051004";"Bargenstedt";"Gemeinden";"207,09";"223,06";"223,29";"170,94";"229,07";"258,34";"365,43";"397,90";"453,23"
"01051005";"Barkenholm";"Gemeinden";"224,60";"225,13";"196,89";"218,09";"278,41";"378,53";"456,29";"473,11";"503,70"
"01051006";"Barlt";"Gemeinden";"189,10";"209,20";"185,43";"150,59";"210,14";"259,45";"371,76";"453,91";"531,47"
"01051008";"Bergewöhrden";"Gemeinden";"300,00";"323,53";"323,53";"250,00";"272,73";"500,00";"476,00";"440,05";"519,46"
"01051010";"Brickeln";"Gemeinden";"205,13";"112,30";"112,20";"95,24";"156,68";"200,00";"243,47";"456,22";"545,22"
"01051011";"Brunsbüttel, Stadt";"Gemeinden";"308,54";"318,65";"262,16";"228,42";"299,36";"357,68";"451,64";"470,23";"510,43"
"01051012";"Buchholz";"Gemeinden";"217,65";"201,47";"207,21";"187,95";"235,79";"294,12";"371,23";"405,12";"451,45"
"01051013";"Büsum";"Gemeinden";"261,30";"273,08";"202,79";"166,87";"179,43";"222,92";"291,61";"335,61";"365,31"
