Kennziffer;Raumeinheit;Aggregat;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo;Gesamtwanderungssaldo
;;;1995;1998;2002;2005;2009;2013;2017;2021;2023
"01001000";"Flensburg, Stadt";"Gemeinden";"-6,52";"-8,14";"4,60";"5,86";"-0,76";"8,59";"14,32";"16,04";"5,26"
"01002000";"Kiel, Landeshauptstadt";"Gemeinden";"-0,54";"-11,72";"5,78";"6,03";"4,23";"7,45";"1,56";"0,16";"9,04"
"01003000";"Lübeck, Hansestadt";"Gemeinden";"4,57";"-3,31";"2,91";"3,38";"-1,11";"10,26";"1,70";"7,04";"11,31"
"01004000";"Neumünster, Stadt";"Gemeinden";"2,19";"-5,53";"1,63";"-2,81";"1,09";"5,10";"1,02";"-1,21";"14,46"
"01051001";"Albersdorf";"Gemeinden";"25,23";"-7,74";"6,61";"-3,37";"1,74";"-22,14";"7,53";"21,47";"28,68"
"01051002";"Arkebek";"Gemeinden";"-23,81";"16,39";"12,45";"-20,16";"-26,43";"27,40";"-85,86";"18,18";"-17,24"
"01051003";"Averlak";"Gemeinden";"-10,54";"-13,45";"16,72";"-9,35";"1,61";"-60,24";"-7,07";"-8,96";"33,90"
"01051004";"Bargenstedt";"Gemeinden";"-7,75";"52,80";"22,44";"33,12";"12,11";"34,45";"39,40";"16,58";"44,40"
"01051005";"Barkenholm";"Gemeinden";"0,00";"-31,41";"-62,18";"-26,60";"5,68";"5,65";"-12,50";"6,10";"-40,70"
"01051006";"Barlt";"Gemeinden";"24,36";"-5,75";"23,18";"-10,59";"12,36";"-8,82";"15,73";"28,31";"2,70"
"01051008";"Bergewöhrden";"Gemeinden";"-133,33";"58,82";"29,41";"27,78";"30,30";"52,63";;"54,05";"57,14"
"01051010";"Brickeln";"Gemeinden";"-19,23";"53,48";"-9,76";"-33,33";"-23,04";"-23,81";"0,00";"-45,45";"-37,84"
"01051011";"Brunsbüttel, Stadt";"Gemeinden";"8,16";"0,28";"3,88";"-6,47";"-7,33";"2,28";"-0,08";"9,21";"12,96"
"01051012";"Buchholz";"Gemeinden";"54,90";"19,23";"9,91";"-12,59";"-1,86";"-8,82";"15,84";"1,01";"-6,06"
"01051013";"Büsum";"Gemeinden";"2,18";"9,06";"11,44";"16,09";"29,27";"6,90";"18,08";"3,90";"40,78"
"01051014";"Büsumer Deichhausen";"Gemeinden";"28,82";"33,43";"0,00";"11,33";"-18,18";"10,78";"11,08";"8,40";"14,25"
"01051015";"Bunsoh";"Gemeinden";"19,83";"18,78";"-26,68";"-19,52";"-6,87";"-22,90";"-23,02";"-14,27";"25,94"
"01051016";"Burg (Dithmarschen)";"Gemeinden";"15,64";"12,54";"7,27";"6,68";"18,26";"-6,93";"12,07";"11,47";"7,32"
"01051017";"Busenwurth";"Gemeinden";"-21,54";"29,33";"29,50";"-80,00";"-23,26";"50,34";"50,63";"0,00";"-3,26"
"01051019";"Dellstedt";"Gemeinden";"-9,91";"-2,43";"-19,18";"10,00";"11,12";"-13,59";"1,35";"-12,80";"4,11"
"01051020";"Delve";"Gemeinden";"8,28";"19,50";"-28,21";"2,74";"-6,93";"-2,87";"28,74";"30,42";"17,04"
"01051021";"Diekhusen-Fahrstedt";"Gemeinden";"14,11";"-11,44";"6,79";"-9,60";"14,84";"-6,88";"-15,45";"5,74";"13,20"
"01051022";"Dingen";"Gemeinden";"-1,57";"-23,40";"5,66";"-7,04";"10,22";"10,90";"-3,22";"-15,82";"-24,92"
"01051023";"Dörpling";"Gemeinden";"4,96";"-15,90";"4,76";"-12,92";"-28,71";"0,00";"-1,66";"30,96";"15,31"
"01051024";"Eddelak";"Gemeinden";"-0,69";"18,34";"-21,08";"-4,79";"0,72";"-39,29";"-2,94";"14,13";"5,96"
"01051026";"Eggstedt";"Gemeinden";"1,31";"28,08";"10,84";"8,37";"-6,28";"8,95";"-21,48";"-11,87";"-2,70"
"01051027";"Elpersbüttel";"Gemeinden";"-10,85";"26,11";"27,49";"-8,76";"-15,50";"8,05";"-1,16";"0,00";"-3,42"
"01051028";"Epenwöhrden";"Gemeinden";"12,77";"7,86";"28,54";"-1,23";"-28,36";"-6,61";"15,27";"5,22";"-14,47"
"01051030";"Fedderingen";"Gemeinden";"46,33";"40,00";"0,00";"46,10";"-3,51";"7,43";"10,49";"-3,70";"25,55"
"01051032";"Frestedt";"Gemeinden";"54,13";"10,34";"-18,09";"30,15";"2,64";"10,58";"-34,88";"28,99";"33,71"
"01051033";"Friedrichsgabekoog";"Gemeinden";"0,00";"67,42";"68,18";"-42,86";"-107,14";"0,00";"0,00";"89,29";"87,72"
"01051034";"Friedrichskoog";"Gemeinden";"-12,81";"16,39";"6,92";"0,80";"-5,71";"12,12";"19,84";"-18,04";"36,79"
"01051035";"Gaushorn";"Gemeinden";"-61,86";"9,30";"28,57";"-44,33";"14,29";"48,39";"-41,18";"-52,02";"-16,95"
"01051036";"Glüsing";"Gemeinden";"-54,05";"50,42";"55,56";"-53,57";"81,97";"34,48";"-136,36";"-55,56";"-55,05"
"01051037";"Großenrade";"Gemeinden";"8,85";"19,57";"43,65";"11,34";"19,05";"14,29";"-10,64";"21,37";"-25,16"
"01051038";"Groven";"Gemeinden";"-32,26";"-7,35";"113,64";"-49,18";"119,72";"25,00";"-23,26";"44,94";"-104,65"
"01051039";"Gudendorf";"Gemeinden";"9,93";"30,15";"11,88";"7,03";"-32,66";"-23,75";"-13,30";"19,23";"18,82"
"01051043";"Hedwigenkoog";"Gemeinden";"-29,63";"-16,19";"36,90";"22,22";"-36,50";"16,95";"23,15";"103,90";"-57,97"
"01051044";"Heide, Stadt";"Gemeinden";"-0,24";"-5,65";"-1,66";"13,21";"2,89";"13,46";"13,36";"22,52";"23,04"
"01051045";"Hellschen-Heringsand-Unterschaar";"Gemeinden";"-25,81";"-19,35";"-6,29";"-11,98";"58,82";"-41,42";"-23,53";"5,95";"-12,66"
"01051046";"Helse";"Gemeinden";"-18,60";"15,09";"37,66";"0,00";"-16,32";"-34,68";"-17,94";"0,00";"44,69"
"01051047";"Hemme";"Gemeinden";"7,75";"13,18";"-9,54";"24,62";"36,56";"-77,38";"6,09";"-22,59";"-29,35"
"01051048";"Hemmingstedt";"Gemeinden";"-1,05";"15,55";"1,32";"-5,37";"-8,56";"-12,59";"0,35";"-5,58";"-1,41"
"01051049";"Hennstedt";"Gemeinden";"-11,79";"26,24";"8,68";"-0,53";"6,22";"9,80";"5,15";"-4,45";"12,71"
"01051050";"Hillgroven";"Gemeinden";"-36,14";"-62,50";"-11,90";"0,00";"24,69";"54,79";"-138,46";"33,90";"-78,43"
"01051051";"Hochdonn";"Gemeinden";"11,75";"18,59";"18,53";"27,60";"7,21";"-10,22";"-36,33";"16,70";"-5,46"
"01051052";"Hövede";"Gemeinden";"14,93";"-42,86";"71,43";"-152,54";"76,92";"-16,39";;"-16,67";"-87,72"
"01051053";"Hollingstedt";"Gemeinden";"-17,86";"-35,61";"-38,24";"-17,96";"-25,56";"-9,87";"-20,48";"19,67";"31,65"
"01051054";"Immenstedt";"Gemeinden";"22,73";"-22,99";"82,47";"-51,02";"19,42";"-10,42";"-19,61";"67,31";"18,18"
"01051057";"Kaiser-Wilhelm-Koog";"Gemeinden";"15,53";"69,25";"-23,38";"-5,41";"-29,26";"8,77";"30,64";"-2,77";"-59,83"
