Kennziffer;Raumeinheit;Aggregat;Bevölkerung weiblich;Bevölkerung weiblich;Bevölkerung weiblich;Bevölkerung weiblich;Bevölkerung weiblich;Bevölkerung weiblich;Bevölkerung weiblich;Bevölkerung weiblich;Bevölkerung weiblich
;;;1995;1998;2002;2005;2009;2013;2017;2021;2023
"01001000";"Flensburg, Stadt";"Gemeinden";"45.280,00";"43.833,00";"43.708,00";"44.112,00";"44.854,00";"42.627,00";"44.433,00";"45.777,00";"48.878,00"
"01002000";"Kiel, Landeshauptstadt";"Gemeinden";"127.068,00";"122.445,00";"120.032,00";"120.288,00";"121.722,00";"124.462,00";"127.134,00";"126.383,00";"128.671,00"
"01003000";"Lübeck, Hansestadt";"Gemeinden";"114.453,00";"112.763,00";"112.124,00";"111.073,00";"110.071,00";"111.269,00";"112.434,00";"112.272,00";"112.798,00"
"01004000";"Neumünster, Stadt";"Gemeinden";"42.533,00";"41.840,00";"40.971,00";"40.008,00";"39.179,00";"39.473,00";"40.145,00";"40.114,00";"40.017,00"
"01051001";"Albersdorf";"Gemeinden";"1.753,00";"1.736,00";"1.851,00";"1.808,00";"1.769,00";"1.768,00";"1.879,00";"1.935,00";"1.995,00"
"01051002";"Arkebek";"Gemeinden";"109,00";"127,00";"114,00";"122,00";"114,00";"110,00";"93,00";"106,00";"106,00"
"01051003";"Averlak";"Gemeinden";"336,00";"337,00";"326,00";"308,00";"316,00";"285,00";"273,00";"268,00";"293,00"
"01051004";"Bargenstedt";"Gemeinden";"440,00";"459,00";"461,00";"464,00";"463,00";"484,00";"476,00";"497,00";"484,00"
"01051005";"Barkenholm";"Gemeinden";"96,00";"92,00";"98,00";"95,00";"85,00";"84,00";"74,00";"72,00";"79,00"
"01051006";"Barlt";"Gemeinden";"434,00";"436,00";"454,00";"419,00";"393,00";"397,00";"375,00";"392,00";"369,00"
"01051008";"Bergewöhrden";"Gemeinden";"13,00";"16,00";"18,00";"21,00";"19,00";"19,00";"19,00";"20,00";"18,00"
"01051010";"Brickeln";"Gemeinden";"68,00";"84,00";"93,00";"99,00";"103,00";"106,00";"108,00";"90,00";"84,00"
"01051011";"Brunsbüttel, Stadt";"Gemeinden";"7.104,00";"7.143,00";"7.034,00";"6.959,00";"6.687,00";"6.363,00";"6.327,00";"6.179,00";"6.285,00"
"01051012";"Buchholz";"Gemeinden";"507,00";"537,00";"556,00";"558,00";"534,00";"495,00";"489,00";"481,00";"476,00"
"01051013";"Büsum";"Gemeinden";"2.492,00";"2.513,00";"2.626,00";"2.635,00";"2.682,00";"2.558,00";"2.591,00";"2.609,00";"2.687,00"
"01051014";"Büsumer Deichhausen";"Gemeinden";"194,00";"204,00";"200,00";"197,00";"198,00";"203,00";"191,00";"190,00";"197,00"
"01051015";"Bunsoh";"Gemeinden";"390,00";"409,00";"417,00";"416,00";"424,00";"390,00";"378,00";"385,00";"386,00"
"01051016";"Burg (Dithmarschen)";"Gemeinden";"2.245,00";"2.330,00";"2.288,00";"2.279,00";"2.230,00";"2.139,00";"2.120,00";"2.122,00";"2.104,00"
"01051017";"Busenwurth";"Gemeinden";"153,00";"164,00";"158,00";"146,00";"139,00";"136,00";"151,00";"160,00";"157,00"
"01051019";"Dellstedt";"Gemeinden";"391,00";"399,00";"388,00";"392,00";"392,00";"354,00";"354,00";"335,00";"345,00"
