Kennziffer;Raumeinheit;Aggregat;Kaufkraft;Kaufkraft;Kaufkraft;Kaufkraft
;;;2013;2017;2021;2023
"01001000";"Flensburg, Stadt";"Gemeinden";"19.570,15";"21.225,55";"22.555,19";"26.301,48"
"01002000";"Kiel, Landeshauptstadt";"Gemeinden";"19.836,82";"21.568,05";"22.918,42";"26.792,26"
"01003000";"Lübeck, Hansestadt";"Gemeinden";"20.770,74";"22.673,06";"24.127,79";"28.153,49"
"01004000";"Neumünster, Stadt";"Gemeinden";"19.767,69";"22.228,84";"23.764,92";"27.680,96"
"01051001";"Albersdorf";"Gemeinden";"20.488,93";"22.553,77";"24.044,96";"27.767,05"
"01051002";"Arkebek";"Gemeinden";"19.393,29";"21.413,78";"24.046,72";"28.156,62"
"01051003";"Averlak";"Gemeinden";"20.343,33";"22.529,33";"24.586,74";"29.081,87"
"01051004";"Bargenstedt";"Gemeinden";"20.855,25";"23.652,26";"26.400,18";"30.488,19"
"01051005";"Barkenholm";"Gemeinden";"20.122,35";"22.076,83";"24.133,79";"27.898,68"
"01051006";"Barlt";"Gemeinden";"18.485,60";"21.043,24";"23.309,60";"27.009,88"
"01051008";"Bergewöhrden";"Gemeinden";"25.366,93";"28.303,99";"31.043,14";"36.071,44"
"01051010";"Brickeln";"Gemeinden";"15.672,74";"18.206,55";"20.307,02";"23.963,12"
"01051011";"Brunsbüttel, Stadt";"Gemeinden";"22.156,64";"24.826,99";"26.869,83";"31.299,81"
"01051012";"Buchholz";"Gemeinden";"19.440,90";"21.874,69";"24.110,74";"28.209,55"
"01051013";"Büsum";"Gemeinden";"22.675,53";"25.099,89";"27.736,97";"32.568,32"
"01051014";"Büsumer Deichhausen";"Gemeinden";"22.813,68";"25.940,45";"28.213,24";"32.534,67"
"01051015";"Bunsoh";"Gemeinden";"20.741,10";"23.473,33";"25.604,51";"30.620,89"
"01051016";"Burg (Dithmarschen)";"Gemeinden";"20.523,98";"23.190,00";"25.323,03";"29.250,51"
"01051017";"Busenwurth";"Gemeinden";"16.968,41";"19.268,60";"21.900,67";"25.080,91"
"01051019";"Dellstedt";"Gemeinden";"18.966,49";"21.199,38";"23.263,93";"27.435,66"
"01051020";"Delve";"Gemeinden";"19.386,58";"22.301,25";"25.041,74";"29.370,09"
"01051021";"Diekhusen-Fahrstedt";"Gemeinden";"20.463,98";"22.963,14";"24.980,17";"29.532,25"
"01051022";"Dingen";"Gemeinden";"21.161,30";"23.666,47";"25.794,70";"30.002,08"
"01051023";"Dörpling";"Gemeinden";"18.287,06";"20.529,60";"23.066,92";"27.176,58"
"01051024";"Eddelak";"Gemeinden";"20.935,72";"22.844,09";"24.816,27";"28.711,64"
"01051026";"Eggstedt";"Gemeinden";"18.552,98";"21.556,16";"23.699,70";"27.292,90"
"01051027";"Elpersbüttel";"Gemeinden";"19.672,45";"22.241,59";"24.725,32";"28.883,01"
"01051028";"Epenwöhrden";"Gemeinden";"19.527,75";"21.177,52";"23.636,74";"27.349,31"
"01051030";"Fedderingen";"Gemeinden";"20.102,88";"21.884,86";"24.046,62";"28.097,63"
"01051032";"Frestedt";"Gemeinden";"19.466,01";"22.411,68";"24.276,52";"28.185,80"
"01051033";"Friedrichsgabekoog";"Gemeinden";"20.778,18";"23.283,51";"27.102,30";"31.583,62"
"01051034";"Friedrichskoog";"Gemeinden";"22.343,68";"23.941,84";"25.349,07";"29.802,40"
"01051035";"Gaushorn";"Gemeinden";"18.214,25";"20.435,79";"22.566,73";"27.063,82"
"01051036";"Glüsing";"Gemeinden";"25.790,00";"28.988,74";"32.101,28";"37.892,58"
"01051037";"Großenrade";"Gemeinden";"19.596,08";"21.659,03";"24.490,98";"29.195,88"
"01051038";"Groven";"Gemeinden";"15.519,76";"18.743,31";"21.622,49";"24.984,07"
"01051039";"Gudendorf";"Gemeinden";"19.932,03";"21.961,82";"24.007,47";"28.339,39"
"01051043";"Hedwigenkoog";"Gemeinden";"17.444,37";"20.038,93";"22.829,44";"27.129,02"
"01051044";"Heide, Stadt";"Gemeinden";"20.642,87";"22.362,32";"23.771,83";"27.763,39"
"01051045";"Hellschen-Heringsand-Unterschaar";"Gemeinden";"21.115,36";"26.016,38";"30.504,92";"36.024,75"
"01051046";"Helse";"Gemeinden";"19.277,23";"21.846,42";"24.224,01";"27.958,54"
"01051047";"Hemme";"Gemeinden";"20.890,94";"24.378,12";"26.725,37";"31.393,53"
"01051048";"Hemmingstedt";"Gemeinden";"19.998,99";"21.737,89";"23.467,65";"27.320,85"
"01051049";"Hennstedt";"Gemeinden";"20.010,10";"22.500,34";"24.577,09";"29.023,84"
"01051050";"Hillgroven";"Gemeinden";"21.029,27";"24.868,74";"27.779,00";"32.254,17"
"01051051";"Hochdonn";"Gemeinden";"18.764,06";"21.193,08";"23.803,94";"27.950,77"
"01051052";"Hövede";"Gemeinden";"21.291,91";"23.792,44";"25.927,44";"30.055,74"
"01051053";"Hollingstedt";"Gemeinden";"18.800,76";"20.124,59";"21.802,18";"25.270,57"
"01051054";"Immenstedt";"Gemeinden";"22.514,70";"24.953,19";"25.907,57";"30.200,55"
"01051057";"Kaiser-Wilhelm-Koog";"Gemeinden";"22.310,18";"25.213,91";"28.304,68";"33.855,03"
"01051058";"Karolinenkoog";"Gemeinden";"24.108,81";"25.638,96";"28.449,87";"33.490,40"
