Kennziffer;Raumeinheit;Aggregat;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil;Ausländeranteil
;;;1995;1998;2002;2005;2009;2013;2017;2021;2023
"01001";"Flensburg, Stadt";"Kreise";"7,76";"8,45";"8,17";"8,23";"7,83";"7,02";"13,27";"16,99";"16,92"
"01002";"Kiel, Landeshauptstadt";"Kreise";"8,32";"9,25";"9,62";"9,35";"8,74";"8,06";"11,26";"12,50";"13,36"
"01003";"Lübeck, Hansestadt";"Kreise";"8,41";"9,14";"8,93";"8,48";"6,99";"7,07";"9,67";"11,21";"12,75"
"01004";"Neumünster, Stadt";"Kreise";"6,95";"7,46";"7,04";"6,87";"6,21";"6,08";"11,01";"13,51";"13,13"
"01051";"Dithmarschen";"Kreise";"2,51";"2,75";"2,93";"3,11";"3,33";"3,02";"5,56";"6,55";"7,92"
"01053";"Herzogtum Lauenburg";"Kreise";"5,10";"5,20";"5,14";"5,10";"4,84";"4,79";"7,50";"8,97";"9,79"
"01054";"Nordfriesland";"Kreise";"3,75";"4,14";"4,24";"4,20";"4,10";"3,84";"6,85";"7,77";"9,40"
"01055";"Ostholstein";"Kreise";"3,67";"3,86";"4,09";"4,06";"3,99";"3,24";"5,47";"6,30";"7,53"
"01056";"Pinneberg";"Kreise";"6,71";"7,12";"7,15";"7,22";"7,03";"7,09";"10,09";"11,84";"12,97"
"01057";"Plön";"Kreise";"2,64";"2,78";"2,87";"3,04";"2,90";"2,43";"4,73";"5,01";"5,61"
"01058";"Rendsburg-Eckernförde";"Kreise";"3,25";"3,41";"3,41";"3,38";"3,21";"2,70";"5,01";"5,76";"6,81"
"01059";"Schleswig-Flensburg";"Kreise";"2,97";"3,21";"3,54";"3,64";"3,59";"2,94";"5,14";"5,66";"6,42"
"01060";"Segeberg";"Kreise";"4,95";"5,20";"5,25";"4,94";"4,63";"4,85";"8,09";"9,29";"10,47"
"01061";"Steinburg";"Kreise";"4,05";"4,33";"4,67";"4,78";"4,67";"3,49";"6,65";"7,29";"8,46"
"01062";"Stormarn";"Kreise";"4,08";"4,21";"4,28";"4,28";"4,27";"4,50";"6,99";"8,15";"9,29"
"02000";"Hamburg, Freie und Hansestadt";"Kreise";"14,89";"15,18";"14,76";"14,22";"13,49";"13,40";"16,18";"17,26";"18,87"
"03101";"Braunschweig, Stadt";"Kreise";"8,35";"8,74";"9,79";"10,04";"9,45";"7,94";"9,68";"11,47";"12,60"
"03102";"Salzgitter, Stadt";"Kreise";"11,93";"10,96";"10,62";"10,36";"10,14";"9,60";"16,94";"19,96";"20,53"
"03103";"Wolfsburg, Stadt";"Kreise";"11,12";"10,98";"12,01";"11,84";"11,74";"10,80";"14,30";"16,41";"17,64"
"03151";"Gifhorn";"Kreise";"5,82";"5,66";"5,60";"5,28";"4,93";"4,41";"6,22";"7,34";"8,22"
"03153";"Goslar";"Kreise";"6,63";"5,82";"5,85";"5,91";"5,49";"5,53";"8,90";"10,12";"10,96"
"03154";"Helmstedt";"Kreise";"5,53";"5,41";"5,73";"5,74";"5,54";"3,87";"6,62";"7,28";"8,92"
"03155";"Northeim";"Kreise";"7,25";"7,03";"7,06";"7,03";"6,95";"3,81";"5,88";"6,80";"8,51"
"03157";"Peine";"Kreise";"7,22";"7,06";"6,90";"6,50";"6,19";"4,84";"7,21";"8,64";"9,91"
"03158";"Wolfenbüttel";"Kreise";"5,91";"5,43";"5,49";"5,62";"5,37";"3,76";"5,88";"6,42";"7,85"
"03159";"Göttingen";"Kreise";"7,82";"6,95";"6,92";"6,56";"6,34";"5,86";"8,12";"9,29";"11,38"
"03241";"Region Hannover";"Kreise";"10,94";"10,55";"10,87";"10,53";"10,13";"10,06";"13,14";"14,74";"16,11"
"03251";"Diepholz";"Kreise";"5,70";"5,15";"5,06";"5,09";"5,13";"4,49";"7,76";"8,87";"9,66"
"03252";"Hameln-Pyrmont";"Kreise";"8,35";"8,39";"8,28";"7,99";"7,69";"6,62";"9,74";"11,43";"12,51"
"03254";"Hildesheim";"Kreise";"6,16";"5,85";"5,82";"5,78";"5,50";"5,19";"7,63";"8,88";"10,17"
"03255";"Holzminden";"Kreise";"7,47";"7,05";"6,86";"6,63";"6,45";"4,37";"6,97";"7,78";"9,69"
"03256";"Nienburg (Weser)";"Kreise";"5,83";"5,41";"5,46";"5,41";"5,22";"4,41";"7,74";"8,90";"10,05"
"03257";"Schaumburg";"Kreise";"7,45";"7,16";"6,77";"6,40";"5,95";"5,29";"8,16";"9,00";"10,05"
"03351";"Celle";"Kreise";"6,24";"5,92";"5,42";"5,04";"4,85";"4,67";"7,40";"8,16";"8,98"
"03352";"Cuxhaven";"Kreise";"5,61";"5,51";"5,86";"5,72";"5,61";"4,25";"6,21";"6,42";"7,34"
"03353";"Harburg";"Kreise";"4,78";"4,63";"4,88";"4,75";"4,74";"4,92";"7,28";"8,35";"9,43"
"03354";"Lüchow-Dannenberg";"Kreise";"3,34";"3,39";"3,78";"4,02";"4,60";"3,74";"5,29";"6,09";"6,92"
"03355";"Lüneburg";"Kreise";"5,38";"5,36";"5,80";"5,78";"5,36";"4,02";"6,63";"6,97";"7,95"
"03356";"Osterholz";"Kreise";"4,30";"4,35";"4,45";"4,35";"4,17";"3,70";"5,33";"6,00";"6,98"
"03357";"Rotenburg (Wümme)";"Kreise";"4,64";"4,62";"4,85";"4,79";"4,61";"4,07";"6,02";"6,98";"8,45"
"03358";"Heidekreis";"Kreise";"5,53";"5,44";"5,29";"5,15";"4,89";"4,38";"7,71";"10,33";"9,37"
"03359";"Stade";"Kreise";"5,48";"5,12";"5,07";"5,08";"5,11";"5,38";"7,97";"9,31";"10,76"
"03360";"Uelzen";"Kreise";"5,05";"5,07";"5,17";"5,11";"4,87";"3,12";"5,48";"6,48";"8,43"
"03361";"Verden";"Kreise";"6,88";"6,27";"6,27";"5,90";"5,58";"4,89";"7,22";"8,28";"9,34"
"03401";"Delmenhorst, Stadt";"Kreise";"9,58";"9,03";"9,04";"8,93";"8,33";"8,38";"14,64";"17,06";"18,02"
"03402";"Emden, Stadt";"Kreise";"5,71";"6,04";"6,63";"7,12";"6,47";"5,54";"9,71";"11,05";"13,00"
"03403";"Oldenburg (Oldenburg), Stadt";"Kreise";"6,56";"7,10";"7,98";"7,54";"7,25";"6,28";"9,31";"11,36";"12,34"
"03404";"Osnabrück, Stadt";"Kreise";"9,19";"8,96";"8,74";"8,55";"8,00";"9,36";"12,71";"14,31";"16,10"
"03405";"Wilhelmshaven, Stadt";"Kreise";"6,32";"5,85";"5,47";"5,24";"5,53";"4,09";"8,49";"10,49";"13,35"
"03451";"Ammerland";"Kreise";"3,64";"3,53";"3,55";"3,44";"3,47";"3,28";"5,63";"6,67";"8,02"
"03452";"Aurich";"Kreise";"3,23";"3,32";"3,52";"3,42";"3,16";"3,14";"5,38";"5,70";"6,84"
"03453";"Cloppenburg";"Kreise";"3,69";"3,47";"3,92";"4,55";"5,28";"6,03";"10,08";"12,24";"13,80"
"03454";"Emsland";"Kreise";"4,62";"4,26";"4,64";"5,24";"6,47";"6,86";"10,34";"11,84";"13,28"
"03455";"Friesland";"Kreise";"3,56";"3,54";"3,34";"3,24";"3,17";"2,35";"4,25";"4,32";"5,89"
"03456";"Grafschaft Bentheim";"Kreise";"8,30";"7,53";"8,95";"10,50";"11,84";"11,74";"14,10";"15,23";"15,81"
"03457";"Leer";"Kreise";"3,95";"4,42";"4,86";"5,13";"5,77";"5,32";"7,47";"8,83";"9,35"
"03458";"Oldenburg";"Kreise";"4,01";"3,91";"4,18";"4,28";"4,68";"4,94";"8,06";"8,91";"9,48"
"03459";"Osnabrück";"Kreise";"5,26";"4,94";"4,68";"4,99";"5,08";"5,29";"7,72";"9,33";"9,62"
"03460";"Vechta";"Kreise";"6,69";"6,60";"7,33";"7,48";"7,91";"7,26";"11,68";"13,66";"14,54"
"03461";"Wesermarsch";"Kreise";"7,73";"6,57";"6,45";"6,13";"6,09";"4,93";"7,53";"8,29";"9,63"
"03462";"Wittmund";"Kreise";"3,92";"3,93";"4,01";"3,84";"3,58";"2,69";"4,35";"5,00";"6,58"
"04011";"Bremen, Stadt";"Kreise";"13,61";"14,89";"12,89";"13,23";"13,00";"12,81";"17,46";"19,20";"22,37"
"04012";"Bremerhaven, Stadt";"Kreise";"14,69";"15,39";"10,63";"10,49";"10,60";"10,81";"16,87";"19,91";"21,85"
"05111";"Düsseldorf, Stadt";"Kreise";"16,43";"17,10";"17,79";"17,86";"18,19";"17,02";"19,73";"20,89";"23,61"
"05112";"Duisburg, Stadt";"Kreise";"17,40";"17,54";"16,56";"16,45";"16,70";"16,05";"20,20";"22,32";"23,41"
"05113";"Essen, Stadt";"Kreise";"10,52";"11,29";"11,52";"11,78";"11,87";"11,21";"15,32";"17,27";"18,53"
"05114";"Krefeld, Stadt";"Kreise";"15,70";"15,06";"13,65";"13,08";"12,80";"11,80";"15,55";"18,13";"19,39"
"05116";"Mönchengladbach, Stadt";"Kreise";"10,67";"10,99";"10,83";"10,76";"10,82";"10,92";"15,29";"18,11";"20,39"
"05117";"Mülheim an der Ruhr, Stadt";"Kreise";"9,25";"9,46";"9,55";"9,84";"10,18";"11,39";"15,08";"16,55";"17,62"
"05119";"Oberhausen, Stadt";"Kreise";"12,09";"12,52";"12,39";"12,70";"12,99";"11,46";"14,57";"16,31";"17,62"
"05120";"Remscheid, Stadt";"Kreise";"16,42";"16,28";"15,25";"14,54";"13,86";"14,08";"17,47";"19,42";"19,56"
"05122";"Solingen, Klingenstadt";"Kreise";"14,74";"14,70";"13,99";"13,50";"12,76";"13,11";"16,22";"17,32";"17,77"
"05124";"Wuppertal, Stadt";"Kreise";"15,92";"16,09";"15,50";"15,62";"15,24";"14,26";"18,80";"21,30";"22,26"
"05154";"Kleve";"Kreise";"8,45";"7,98";"7,72";"8,24";"9,36";"10,51";"14,36";"16,24";"18,01"
"05158";"Mettmann";"Kreise";"11,78";"11,89";"11,36";"11,02";"10,53";"9,37";"11,88";"13,17";"14,62"
"05162";"Rhein-Kreis Neuss";"Kreise";"11,39";"11,36";"10,66";"10,19";"9,96";"9,43";"11,44";"12,39";"14,45"
"05166";"Viersen";"Kreise";"8,51";"8,24";"7,56";"7,24";"7,14";"7,33";"9,73";"10,51";"12,00"
"05170";"Wesel";"Kreise";"9,61";"9,18";"8,10";"7,77";"7,43";"6,74";"9,01";"9,86";"10,95"
