Kennziffer;Raumeinheit;Aggregat;Steuereinnahmen;Steuereinnahmen;Steuereinnahmen;Steuereinnahmen;Steuereinnahmen;Steuereinnahmen;Steuereinnahmen;Steuereinnahmen;Steuereinnahmen
;;;1995;1998;2002;2005;2009;2013;2017;2021;2023
"01001000";"Flensburg, Stadt";"Gemeinden";"598,73";"704,35";"561,98";"667,97";"722,28";"912,68";"1.129,12";"1.300,74";"1.593,14"
"01002000";"Kiel, Landeshauptstadt";"Gemeinden";"653,75";"893,31";"706,72";"871,58";"828,11";"977,51";"1.069,45";"1.257,58";"1.722,74"
"01003000";"Lübeck, Hansestadt";"Gemeinden";"632,71";"675,07";"591,42";"616,12";"678,29";"865,49";"1.039,87";"1.214,73";"1.411,67"
"01004000";"Neumünster, Stadt";"Gemeinden";"559,05";"651,60";"593,87";"627,05";"616,17";"862,13";"1.128,14";"1.340,07";"1.568,64"
"01051001";"Albersdorf";"Gemeinden";"388,32";"410,43";"353,25";"363,36";"439,77";"603,85";"907,96";"865,76";"1.138,27"
"01051002";"Arkebek";"Gemeinden";"300,00";"258,20";"286,31";"258,06";"356,83";"579,91";"577,80";"927,02";"629,13"
"01051003";"Averlak";"Gemeinden";"423,19";"334,83";"354,10";"303,74";"392,28";"588,64";"769,84";"711,74";"754,04"
"01051004";"Bargenstedt";"Gemeinden";"271,32";"313,58";"395,30";"337,61";"459,25";"613,56";"673,80";"916,18";"1.044,81"
"01051005";"Barkenholm";"Gemeinden";"288,77";"350,79";"295,34";"351,06";"426,14";"564,97";"736,98";"820,28";"752,45"
"01051006";"Barlt";"Gemeinden";"288,86";"310,34";"301,32";"271,76";"375,77";"511,34";"1.140,23";"1.552,03";"2.735,81"
"01051008";"Bergewöhrden";"Gemeinden";"466,67";"441,18";"441,18";"388,89";"454,55";"684,21";"1.635,97";"1.237,78";"632,66"
"01051010";"Brickeln";"Gemeinden";"269,23";"224,60";"185,37";"176,19";"281,11";"342,86";"457,41";"773,59";"890,24"
"01051011";"Brunsbüttel, Stadt";"Gemeinden";"723,76";"1.351,89";"1.079,35";"718,49";"982,76";"1.325,76";"2.164,85";"2.459,83";"2.657,43"
"01051012";"Buchholz";"Gemeinden";"287,25";"267,40";"319,82";"283,27";"399,81";"487,25";"581,65";"687,12";"759,58"
"01051013";"Büsum";"Gemeinden";"572,58";"511,86";"495,84";"511,55";"614,07";"844,21";"1.161,36";"1.533,96";"1.792,70"
"01051014";"Büsumer Deichhausen";"Gemeinden";"360,23";"364,90";"430,17";"436,26";"548,48";"638,81";"697,29";"726,86";"796,49"
"01051015";"Bunsoh";"Gemeinden";"307,31";"289,91";"315,55";"319,17";"398,63";"552,16";"637,59";"837,66";"810,35"
"01051016";"Burg (Dithmarschen)";"Gemeinden";"357,61";"349,83";"328,03";"377,10";"433,52";"491,52";"740,19";"670,72";"781,42"
"01051017";"Busenwurth";"Gemeinden";"323,08";"407,62";"218,29";"243,08";"392,03";"500,00";"621,22";"999,89";"664,21"
"01051019";"Dellstedt";"Gemeinden";"277,57";"290,75";"290,28";"257,50";"306,55";"399,46";"482,32";"609,14";"735,71"
"01051020";"Delve";"Gemeinden";"310,34";"300,84";"304,65";"320,99";"331,48";"429,60";"521,75";"576,72";"818,75"
"01051021";"Diekhusen-Fahrstedt";"Gemeinden";"260,19";"302,29";"247,28";"262,00";"373,82";"485,56";"869,08";"1.151,28";"1.524,31"
"01051022";"Dingen";"Gemeinden";"358,93";"355,69";"396,04";"276,06";"405,84";"766,36";"880,50";"937,27";"1.290,43"
"01051023";"Dörpling";"Gemeinden";"254,55";"252,78";"273,02";"274,64";"346,09";"401,33";"546,87";"599,23";"711,98"
"01051024";"Eddelak";"Gemeinden";"357,83";"328,12";"335,21";"282,19";"414,76";"573,76";"676,36";"766,67";"1.100,49"
"01051026";"Eggstedt";"Gemeinden";"267,02";"244,20";"260,24";"221,29";"342,96";"455,24";"615,26";"711,92";"793,37"
"01051027";"Elpersbüttel";"Gemeinden";"320,22";"319,84";"311,57";"261,77";"506,09";"567,82";"613,85";"980,25";"1.007,23"
"01051028";"Epenwöhrden";"Gemeinden";"317,73";"284,40";"332,51";"287,47";"546,24";"554,82";"627,06";"920,72";"-72,89"
"01051030";"Fedderingen";"Gemeinden";"312,74";"305,45";"262,17";"340,43";"491,23";"873,61";"952,99";"1.052,90";"1.128,57"
"01051032";"Frestedt";"Gemeinden";"287,75";"242,89";"276,49";"236,18";"340,37";"420,63";"621,58";"870,16";"902,95"
"01051033";"Friedrichsgabekoog";"Gemeinden";"371,13";"494,38";"602,27";"571,43";"4.357,14";"1.714,29";;"7.594,14";"10.491,46"
"01051034";"Friedrichskoog";"Gemeinden";"445,45";"449,00";"389,91";"547,99";"814,69";"858,59";"2.049,52";"1.480,22";"2.182,00"
"01051035";"Gaushorn";"Gemeinden";"329,90";"339,53";"347,62";"236,45";"423,81";"559,14";"705,03";"980,20";"1.037,73"
"01051036";"Glüsing";"Gemeinden";"630,63";"504,20";"722,22";"678,57";"762,30";"982,76";"1.684,34";"2.711,93";"2.145,37"
"01051037";"Großenrade";"Gemeinden";"254,42";"247,83";"208,33";"198,49";"276,19";"353,06";"483,24";"582,66";"657,21"
"01051038";"Groven";"Gemeinden";"451,61";"345,59";"310,61";"278,69";"288,73";"1.250,00";"1.706,83";"2.651,22";"4.836,44"
"01051039";"Gudendorf";"Gemeinden";"476,43";"650,75";"353,92";"505,85";"703,52";"559,37";"829,51";"1.214,41";"1.100,06"
"01051043";"Hedwigenkoog";"Gemeinden";"337,04";"360,32";"405,90";"688,89";"416,06";"1.834,75";"4.598,69";"5.501,93";"5.130,05"
"01051044";"Heide, Stadt";"Gemeinden";"530,41";"662,44";"469,70";"455,77";"596,28";"759,01";"978,37";"1.125,87";"1.328,35"
"01051045";"Hellschen-Heringsand-Unterschaar";"Gemeinden";"245,16";"309,68";"320,75";"257,49";"315,51";"1.189,35";"1.962,88";"2.445,36";"2.957,73"
"01051046";"Helse";"Gemeinden";"302,33";"317,89";"280,33";"283,16";"347,12";"590,75";"860,15";"974,08";"1.421,50"
"01051047";"Hemme";"Gemeinden";"288,76";"355,93";"351,15";"399,62";"712,98";"1.486,11";"3.735,75";"3.145,52";"3.232,14"
"01051048";"Hemmingstedt";"Gemeinden";"448,10";"691,45";"499,34";"2.879,95";"84,59";"736,01";"1.933,54";"977,91";"1.517,71"
"01051049";"Hennstedt";"Gemeinden";"440,76";"392,02";"421,91";"490,19";"556,02";"756,58";"1.011,92";"899,01";"1.146,84"
"01051050";"Hillgroven";"Gemeinden";"891,57";"425,00";"964,29";"1.576,47";"1.666,67";"3.150,68";;"13.550,86";"8.170,80"
"01051051";"Hochdonn";"Gemeinden";"293,03";"280,52";"269,94";"236,59";"301,04";"351,79";"439,12";"584,26";"635,91"
"01051052";"Hövede";"Gemeinden";"417,91";"342,86";"114,29";"288,14";"430,77";"540,98";"714,74";"751,97";"820,61"
"01051053";"Hollingstedt";"Gemeinden";"223,21";"258,16";"270,59";"260,48";"338,66";"460,53";"532,58";"552,05";"688,64"
"01051054";"Immenstedt";"Gemeinden";"443,18";"344,83";"257,73";"244,90";"378,64";"645,83";"742,13";"809,87";"922,80"
"01051057";"Kaiser-Wilhelm-Koog";"Gemeinden";"344,72";"362,88";"316,88";"675,68";"792,55";"1.681,29";"1.984,58";"2.632,32";"4.576,75"
"01051058";"Karolinenkoog";"Gemeinden";"442,18";"553,19";"525,93";"500,00";"731,71";"1.021,28";"1.109,71";"1.273,51";"1.211,22"
"01051060";"Kleve";"Gemeinden";"310,43";"275,29";"263,27";"289,18";"475,52";"596,29";"751,77";"862,97";"948,71"
"01051061";"Krempel";"Gemeinden";"327,72";"389,55";"257,06";"278,03";"303,99";"318,94";"452,03";"579,76";"575,00"
"01051062";"Kronprinzenkoog";"Gemeinden";"454,36";"506,12";"371,70";"432,63";"923,42";"1.444,98";"2.385,34";"2.427,35";"3.202,33"
"01051063";"Krumstedt";"Gemeinden";"266,79";"300,56";"268,74";"234,88";"371,48";"469,31";"595,49";"697,55";"778,66"
"01051064";"Kuden";"Gemeinden";"327,61";"330,85";"305,94";"339,39";"390,36";"534,77";"494,90";"660,11";"730,93"
"01051065";"Lehe";"Gemeinden";"320,46";"332,40";"279,37";"262,15";"377,32";"447,66";"525,35";"650,45";"634,99"
"01051067";"Lieth";"Gemeinden";"550,00";"1.055,41";"751,22";"8.931,12";"-1.191,65";"903,23";"3.790,73";"1.515,94";"1.545,07"
"01051068";"Linden";"Gemeinden";"260,77";"296,47";"352,74";"325,82";"446,26";"486,80";"682,89";"681,82";"770,66"
"01051069";"Lohe-Rickelshof";"Gemeinden";"404,51";"356,09";"430,02";"432,68";"661,98";"750,97";"1.027,63";"1.264,38";"2.749,70"
"01051071";"Lunden";"Gemeinden";"381,93";"460,29";"343,44";"299,09";"464,11";"542,26";"479,31";"621,28";"603,57"
"01051072";"Marne, Stadt";"Gemeinden";"457,56";"496,26";"418,05";"483,29";"599,08";"874,60";"925,42";"1.074,32";"1.326,36"
"01051073";"Marnerdeich";"Gemeinden";"242,42";"237,67";"270,13";"301,99";"410,92";"456,63";"579,79";"728,13";"723,95"
"01051074";"Meldorf, Stadt";"Gemeinden";"619,17";"452,62";"558,22";"571,54";"638,11";"751,99";"882,47";"1.109,56";"1.191,57"
"01051075";"Neuenkirchen";"Gemeinden";"307,14";"313,20";"325,02";"284,90";"382,61";"535,93";"1.692,21";"1.500,15";"2.541,63"
"01051076";"Neufeld";"Gemeinden";"295,63";"303,89";"292,90";"291,16";"505,39";"591,13";"1.444,94";"2.340,01";"2.020,33"
"01051077";"Neufelderkoog";"Gemeinden";"355,70";"437,50";"720,00";"451,39";"1.148,15";"1.308,94";"2.568,76";"2.439,34";"1.944,88"
"01051078";"Nindorf";"Gemeinden";"393,15";"436,25";"429,96";"359,72";"397,02";"661,82";"888,80";"969,97";"1.107,27"
"01051079";"Norddeich";"Gemeinden";"246,11";"271,63";"272,94";"305,36";"417,45";"711,49";"991,01";"1.835,90";"2.076,27"
"01051080";"Norderheistedt";"Gemeinden";"274,07";"320,00";"211,92";"187,05";"244,90";"302,01";"2.287,86";"1.723,13";"2.418,89"
"01051081";"Norderwöhrden";"Gemeinden";"415,03";"396,04";"386,89";"325,26";"1.189,96";"2.033,33";"2.596,34";"4.556,84";"12.142,23"
"01051082";"Nordhastedt";"Gemeinden";"352,34";"335,26";"326,49";"326,36";"426,43";"538,49";"572,68";"758,19";"947,20"
