Kennziffer;Raumeinheit;Aggregat;Gästeübernachtungen in Beherbergungsbetrieben;Gästeübernachtungen in Beherbergungsbetrieben;Gästeübernachtungen in Beherbergungsbetrieben;Gästeübernachtungen in Beherbergungsbetrieben;Gästeübernachtungen in Beherbergungsbetrieben
;;;2009;2013;2017;2021;2023
"01001000";"Flensburg, Stadt";"Gemeinden";"1,79";"2,75";"3,52";"3,18";"4,28"
"01002000";"Kiel, Landeshauptstadt";"Gemeinden";"2,05";"2,52";"2,93";"2,68";"4,32"
"01003000";"Lübeck, Hansestadt";"Gemeinden";"5,34";"6,45";"7,79";"8,12";"10,15"
"01004000";"Neumünster, Stadt";"Gemeinden";"1,38";"1,79";"2,41";"1,43";"2,37"
"01051001";"Albersdorf";"Gemeinden";"0,00";"3,76";;"0,00";
"01051002";"Arkebek";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051003";"Averlak";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051004";"Bargenstedt";"Gemeinden";"0,00";;;"0,00";
"01051005";"Barkenholm";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051006";"Barlt";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051008";"Bergewöhrden";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051010";"Brickeln";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051011";"Brunsbüttel, Stadt";"Gemeinden";"1,30";"1,69";"2,55";"1,45";"3,48"
"01051012";"Buchholz";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051013";"Büsum";"Gemeinden";"168,77";"162,93";"212,17";"210,63";"263,08"
"01051014";"Büsumer Deichhausen";"Gemeinden";"103,68";"86,61";"88,89";"72,75";"57,40"
"01051015";"Bunsoh";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051016";"Burg (Dithmarschen)";"Gemeinden";"0,00";;;"0,00";
"01051017";"Busenwurth";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051019";"Dellstedt";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051020";"Delve";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051021";"Diekhusen-Fahrstedt";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051022";"Dingen";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051023";"Dörpling";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051024";"Eddelak";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051026";"Eggstedt";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051027";"Elpersbüttel";"Gemeinden";"5,41";"7,18";"8,52";"5,80";
"01051028";"Epenwöhrden";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051030";"Fedderingen";"Gemeinden";"0,00";;;"0,00";
"01051032";"Frestedt";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051033";"Friedrichsgabekoog";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051034";"Friedrichskoog";"Gemeinden";"61,50";"65,83";"73,04";"62,81";"70,67"
"01051035";"Gaushorn";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051036";"Glüsing";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051037";"Großenrade";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051038";"Groven";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051039";"Gudendorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051043";"Hedwigenkoog";"Gemeinden";"58,65";"57,86";"65,62";"81,16";"103,36"
"01051044";"Heide, Stadt";"Gemeinden";"2,02";"1,98";"2,01";"1,16";"1,58"
"01051045";"Hellschen-Heringsand-Unterschaar";"Gemeinden";"0,00";;;"0,00";
"01051046";"Helse";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051047";"Hemme";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051048";"Hemmingstedt";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051049";"Hennstedt";"Gemeinden";"0,00";;;"0,00";
"01051050";"Hillgroven";"Gemeinden";"0,00";;;"0,00";
"01051051";"Hochdonn";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051052";"Hövede";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051053";"Hollingstedt";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051054";"Immenstedt";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051057";"Kaiser-Wilhelm-Koog";"Gemeinden";"20,53";"12,93";"17,55";"5,18";"5,89"
"01051058";"Karolinenkoog";"Gemeinden";"0,00";;;"0,00";
"01051060";"Kleve";"Gemeinden";"0,00";;;"0,00";
"01051061";"Krempel";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051062";"Kronprinzenkoog";"Gemeinden";"5,70";"4,79";;"0,00";
"01051063";"Krumstedt";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051064";"Kuden";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051065";"Lehe";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051067";"Lieth";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051068";"Linden";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051069";"Lohe-Rickelshof";"Gemeinden";"0,00";;;"0,00";
"01051071";"Lunden";"Gemeinden";"0,00";;;"0,00";
"01051072";"Marne, Stadt";"Gemeinden";"0,00";;;"0,00";"1,49"
"01051073";"Marnerdeich";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051074";"Meldorf, Stadt";"Gemeinden";"0,00";"1,32";"1,46";"1,25";"1,43"
"01051075";"Neuenkirchen";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051076";"Neufeld";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051077";"Neufelderkoog";"Gemeinden";"0,00";;"27,60";"22,11";
"01051078";"Nindorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051079";"Norddeich";"Gemeinden";"0,00";;;"0,00";
"01051080";"Norderheistedt";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051081";"Norderwöhrden";"Gemeinden";"0,00";;;"0,00";
"01051082";"Nordhastedt";"Gemeinden";"2,72";;;"0,00";
"01051083";"Odderade";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051084";"Oesterdeichstrich";"Gemeinden";"0,00";;;"0,00";
"01051085";"Offenbüttel";"Gemeinden";"0,00";;;"0,00";
"01051086";"Osterrade";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051087";"Ostrohe";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051088";"Pahlen";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051089";"Quickborn";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051090";"Ramhusen";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051092";"Rehm-Flehde-Bargen";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051093";"Reinsbüttel";"Gemeinden";"9,75";"8,61";;"0,00";
"01051096";"Sankt Annen";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051097";"Sankt Michaelisdonn";"Gemeinden";"0,00";;;"0,00";
"01051098";"Sarzbüttel";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051099";"Schafstedt";"Gemeinden";"0,00";;"13,64";"8,80";"14,20"
"01051100";"Schalkholz";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051102";"Schlichting";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051103";"Schmedeswurth";"Gemeinden";"0,00";;;"0,00";
"01051104";"Schrum";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051105";"Schülp";"Gemeinden";"0,00";;;"0,00";
"01051107";"Stelle-Wittenwurth";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051108";"Strübbel";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051109";"Süderdeich";"Gemeinden";"0,00";;;"0,00";
"01051110";"Süderhastedt";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051113";"Wöhrden";"Gemeinden";"3,46";"5,37";"4,38";"4,10";
"01051114";"Tellingstedt";"Gemeinden";"0,00";;;"0,00";
"01051117";"Tielenhemme";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051118";"Trennewurth";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051119";"Volsemenhusen";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051120";"Wallen";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051121";"Warwerort";"Gemeinden";"16,19";;"14,43";"22,98";"38,68"
"01051122";"Weddingstedt";"Gemeinden";"0,00";;;"0,00";
"01051125";"Welmbüttel";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051126";"Wennbüttel";"Gemeinden";"0,00";;;"0,00";
"01051127";"Wesselburen, Stadt";"Gemeinden";"0,00";;;"0,00";
"01051128";"Wesselburener Deichhausen";"Gemeinden";"0,00";;;"0,00";
"01051129";"Wesselburenerkoog";"Gemeinden";"44,15";;;"0,00";
"01051130";"Wesseln";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051131";"Westerborstel";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051132";"Westerdeichstrich";"Gemeinden";"23,38";"27,89";"30,88";"33,98";"30,36"
"01051133";"Wiemerstedt";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051134";"Windbergen";"Gemeinden";"0,00";;;"0,00";
"01051135";"Wolmersdorf";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051136";"Wrohm";"Gemeinden";"0,00";;;"0,00";
"01051137";"Nordermeldorf";"Gemeinden";"12,31";"7,12";"7,09";"8,60";"11,11"
"01051138";"Tensbüttel-Röst";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051139";"Süderdorf";"Gemeinden";"0,00";;;"0,00";
"01051140";"Oesterwurth";"Gemeinden";"0,00";;;"0,00";"0,00"
"01051141";"Süderheistedt";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053001";"Albsfelde";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053002";"Alt-Mölln";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053003";"Aumühle";"Gemeinden";"2,15";"2,16";"2,30";"2,47";"2,40"
"01053004";"Bäk";"Gemeinden";"17,13";"13,86";"13,73";"0,00";
"01053005";"Bälau";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053006";"Basedow";"Gemeinden";"0,00";;;"0,00";"0,00"
"01053007";"Basthorst";"Gemeinden";"0,00";;;"0,00";
"01053008";"Behlendorf";"Gemeinden";"0,00";;;"0,00";"0,00"
