Kennziffer;Raumeinheit;Aggregat;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose
;;;1998;2002;2005;2009;2013;2017;2021;2023
"01001000";"Flensburg, Stadt";"Gemeinden";"5.784,00";"5.078,00";"7.521,00";"5.519,00";"5.205,00";"4.512,00";"4.369,00";"4.131,00"
"01002000";"Kiel, Landeshauptstadt";"Gemeinden";"15.281,00";"13.734,00";"19.807,00";"13.300,00";"13.070,00";"12.345,00";"11.097,00";"10.581,00"
"01003000";"Lübeck, Hansestadt";"Gemeinden";"13.374,00";"13.079,00";"18.589,00";"12.714,00";"11.109,00";"9.692,00";"9.347,00";"9.216,00"
"01004000";"Neumünster, Stadt";"Gemeinden";"5.217,00";"4.931,00";"6.179,00";"4.445,00";"4.458,00";"3.836,00";"3.771,00";"3.604,00"
"01051001";"Albersdorf";"Gemeinden";"161,00";"170,00";"197,00";"157,00";"153,00";"150,00";"122,00";"123,00"
"01051002";"Arkebek";"Gemeinden";"11,00";"9,00";"6,00";"8,00";"8,00";"5,00";"5,00";"6,00"
"01051003";"Averlak";"Gemeinden";"33,00";"24,00";"33,00";"20,00";"15,00";"15,00";"8,00";"10,00"
"01051004";"Bargenstedt";"Gemeinden";"30,00";"34,00";"49,00";"30,00";"25,00";"17,00";"11,00";"14,00"
"01051005";"Barkenholm";"Gemeinden";"7,00";"6,00";"8,00";"5,00";"5,00";"3,00";"2,00";"5,00"
"01051006";"Barlt";"Gemeinden";"37,00";"29,00";"34,00";"25,00";"25,00";"21,00";"18,00";"17,00"
"01051008";"Bergewöhrden";"Gemeinden";"1,00";"0,00";"0,00";"1,00";"2,00";"1,00";"0,00";"0,00"
"01051010";"Brickeln";"Gemeinden";"8,00";"10,00";"10,00";"6,00";"6,00";"5,00";"5,00";"5,00"
"01051011";"Brunsbüttel, Stadt";"Gemeinden";"717,00";"591,00";"928,00";"679,00";"542,00";"483,00";"376,00";"392,00"
"01051012";"Buchholz";"Gemeinden";"46,00";"44,00";"52,00";"35,00";"22,00";"24,00";"19,00";"17,00"
"01051013";"Büsum";"Gemeinden";"243,00";"207,00";"291,00";"217,00";"185,00";"181,00";"143,00";"141,00"
"01051014";"Büsumer Deichhausen";"Gemeinden";"2,00";"13,00";"15,00";"9,00";"11,00";"12,00";"10,00";"9,00"
"01051015";"Bunsoh";"Gemeinden";"49,00";"32,00";"30,00";"25,00";"24,00";"25,00";"23,00";"18,00"
"01051016";"Burg (Dithmarschen)";"Gemeinden";"245,00";"201,00";"313,00";"218,00";"202,00";"161,00";"134,00";"122,00"
